itemId,name,goldBase,goldTotal,purchasable,description,stats
1001,Boots,300,300,True,<mainText><stats><attention>25</attention> Move Speed</stats><br><br></mainText>,{'FlatMovementSpeedMod': 25}
1004,Faerie Charm,200,200,True,<mainText><stats><attention>50%</attention> Base Mana Regen</stats><br><br></mainText>,{}
1006,Rejuvenation Bead,300,300,True,<mainText><stats><attention>100%</attention> Base Health Regen</stats><br><br></mainText>,{}
1011,Giant's Belt,500,900,True,<mainText><stats><attention>350</attention> Health</stats><br><br></mainText>,{'FlatHPPoolMod': 350}
1018,Cloak of Agility,600,600,True,<mainText><stats><attention>15%</attention> Critical Strike Chance</stats><br><br></mainText>,{'FlatCritChanceMod': 0.15}
1026,Blasting Wand,850,850,True,<mainText><stats><attention>45</attention> Ability Power</stats><br><br></mainText>,{'FlatMagicDamageMod': 45}
1027,Sapphire Crystal,300,300,True,<mainText><stats><attention>300</attention> Mana</stats><br><br></mainText>,{'FlatMPPoolMod': 300}
1028,Ruby Crystal,400,400,True,<mainText><stats><attention>150</attention> Health</stats><br><br></mainText>,{'FlatHPPoolMod': 150}
1029,Cloth Armor,300,300,True,<mainText><stats><attention>15</attention> Armor</stats><br><br></mainText>,{'FlatArmorMod': 15}
1031,Chain Vest,500,800,True,<mainText><stats><attention>40</attention> Armor</stats><br><br></mainText>,{'FlatArmorMod': 40}
1033,Null-Magic Mantle,400,400,True,<mainText><stats><attention>20</attention> Magic Resist</stats><br><br></mainText>,{'FlatSpellBlockMod': 20}
1035,Emberknife,350,350,False,"<mainText><stats></stats><br><br><passive>7%</passive> Omnivamp against jungle monsters<br><li><passive>Sear:</passive> Damaging jungle monsters burns them for <magicDamage> magic damage</magicDamage> over 5 seconds.<li><passive>Challenging Path:</passive> Smiting 5 times <status>consumes</status> this item and upgrades your Smite to <attention>Challenging Smite</attention>, increasing its damage to monsters to <trueDamage>900</trueDamage> and damage to minions to <trueDamage>500 +10% target max Health</trueDamage>. Challenging Smite marks champions for 4 seconds. Damaging a marked champion deals an additional <trueDamage> true damage</trueDamage> to them over 2.5 seconds. You take 10% reduced damage from marked champions.<li><passive>Huntsman:</passive> Killing large jungle monsters grants bonus experience.<li><passive>Recoup:</passive> Regen up to <scaleMana> Mana</scaleMana> (based on missing mana) per second when in the jungle or river. <br><br><rules><status>Consuming</status> this item grants all item effects permanently and increases Smite damage to monsters. If you have gained more gold from minions than jungle monsters, gold and experience from minions is heavily reduced. Healing is not reduced on AoE attacks. If two levels behind the average champion level of the game, monster kills grant bonus experience. </rules><br><rules>Only attacks and abilities apply Challenging Smite's burn</rules></mainText>",{}
1036,Long Sword,350,350,True,<mainText><stats><attention>10</attention> Attack Damage</stats><br><br></mainText>,{'FlatPhysicalDamageMod': 10}
1037,Pickaxe,875,875,True,<mainText><stats><attention>25</attention> Attack Damage</stats><br><br></mainText>,{'FlatPhysicalDamageMod': 25}
1038,B. F. Sword,1300,1300,True,<mainText><stats><attention>40</attention> Attack Damage</stats><br><br></mainText>,{'FlatPhysicalDamageMod': 40}
