teamname,barons,firstbaron,atakhans,gamelength,result,games,barons_per_game,atakhans_per_game
100 Thieves,29.0,22.0,19.0,2034.9,20,40,0.725,0.475
3BL Esports,1.0,1.0,1.0,1772.2857142857142,1,7,0.14285714285714285,0.14285714285714285
5M Esports,1.0,0.0,1.0,1937.0,1,2,0.5,0.5
A One Man Army,17.0,13.0,16.0,1932.5227272727273,19,44,0.38636363636363635,0.36363636363636365
A One Man Army Prime,0.0,0.0,0.0,1284.5,0,2,0.0,0.0
A One Man Army Prime Academy,0.0,0.0,0.0,1809.0,0,2,0.0,0.0
AKA HERO,3.0,2.0,3.0,2066.3333333333335,1,3,1.0,1.0
AVE Axolotl,24.0,15.0,21.0,1896.9811320754718,27,53,0.4528301886792453,0.39622641509433965
Actions Per Minute,16.0,14.0,19.0,1872.9333333333334,14,45,0.35555555555555557,0.4222222222222222
All for One Gaming,0.0,0.0,0.0,1536.0,0,2,0.0,0.0
Alpha7 Esports,6.0,5.0,5.0,2013.6666666666667,5,9,0.6666666666666666,0.5555555555555556
Andromeda Gaming,5.0,3.0,7.0,1796.0833333333333,6,12,0.4166666666666667,0.5833333333333334
Ankora Gaming,1.0,1.0,1.0,1923.0,1,5,0.2,0.2
Anubis Gaming,29.0,24.0,30.0,1935.4925373134329,33,67,0.43283582089552236,0.44776119402985076
Anyone's Legend,96.0,12.0,20.0,1961.3472222222222,93,144,0.6666666666666666,0.1388888888888889
Anyone's Legend.Young,2.0,2.0,5.0,1711.8181818181818,5,11,0.18181818181818182,0.45454545454545453
Apex Mission Impossible,8.0,5.0,6.0,2016.4615384615386,5,26,0.3076923076923077,0.23076923076923078
Apex Predator,4.0,3.0,4.0,1876.4,5,5,0.8,0.8
Aurora,8.0,7.0,11.0,1862.225,7,40,0.2,0.275
Austrian Force willhaben,34.0,24.0,28.0,1917.96875,27,64,0.53125,0.4375
BAAM Esports,43.0,31.0,39.0,1944.7012987012988,32,77,0.5584415584415584,0.5064935064935064
BBL Dark Passage,30.0,19.0,24.0,2080.6739130434785,20,46,0.6521739130434783,0.5217391304347826
BERZLOY,4.0,2.0,2.0,1947.0,3,4,1.0,0.5
BK ROG Esports,62.0,42.0,38.0,2099.3376623376626,46,77,0.8051948051948052,0.4935064935064935
BNK FEARX,33.0,30.0,27.0,1879.051282051282,32,78,0.4230769230769231,0.34615384615384615
BNK FEARX Academy,22.0,19.0,18.0,1759.0196078431372,20,51,0.43137254901960786,0.35294117647058826
BNK FEARX Youth,57.0,48.0,52.0,1890.4903846153845,56,104,0.5480769230769231,0.5
BRUTE,17.0,11.0,14.0,1874.3684210526317,9,38,0.4473684210526316,0.3684210526315789
BWE Esports,1.0,1.0,1.0,2044.6666666666667,1,3,0.3333333333333333,0.3333333333333333
Back2TheGame,36.0,29.0,30.0,1978.7540983606557,34,61,0.5901639344262295,0.4918032786885246
Bamboo Juice,7.0,7.0,10.0,1759.888888888889,9,18,0.3888888888888889,0.5555555555555556
Barcząca Esports,4.0,3.0,5.0,1998.5,3,6,0.6666666666666666,0.8333333333333334
Barça eSports,56.0,43.0,60.0,1926.61,54,100,0.56,0.6
BeFive,20.0,14.0,16.0,1761.4468085106382,20,47,0.425531914893617,0.3404255319148936
Berimbados,0.0,0.0,0.0,1436.5,0,2,0.0,0.0
Berlin International Gaming,51.0,41.0,56.0,1816.764705882353,61,85,0.6,0.6588235294117647
Beşiktaş Esports,20.0,15.0,16.0,2044.3720930232557,18,43,0.46511627906976744,0.37209302325581395
Bilibili Gaming,90.0,10.0,13.0,1943.6950354609928,90,141,0.6382978723404256,0.09219858156028368
Bilibili Gaming Junior,1.0,1.0,3.0,1962.5714285714287,2,7,0.14285714285714285,0.42857142857142855
Black Dog,0.0,0.0,3.0,1921.3,2,10,0.0,0.3
Black Lion,0.0,0.0,0.0,1647.5,0,2,0.0,0.0
BloomStorm,1.0,1.0,1.0,1680.6,0,10,0.1,0.1
Blue Otter,16.0,12.0,14.0,2050.181818181818,14,33,0.48484848484848486,0.42424242424242425
BoostGate Esports,45.0,36.0,39.0,1938.7714285714285,41,70,0.6428571428571429,0.5571428571428572
BraVeLY,13.0,13.0,16.0,1805.7857142857142,12,42,0.30952380952380953,0.38095238095238093
Broke,0.0,0.0,0.0,1503.0,0,2,0.0,0.0
Bulldog Esports,20.0,14.0,13.0,2001.1521739130435,21,46,0.43478260869565216,0.2826086956521739
Burning Core Toyama,17.0,12.0,27.0,1762.698113207547,28,53,0.32075471698113206,0.5094339622641509
Bushido Wildcats,26.0,18.0,25.0,2026.6,23,45,0.5777777777777777,0.5555555555555556
CCG Esports,21.0,15.0,13.0,2002.8918918918919,17,37,0.5675675675675675,0.35135135135135137
CGN Esports,28.0,19.0,23.0,1903.3,24,40,0.7,0.575
CITA Kaizen,15.0,10.0,15.0,1868.9583333333333,14,24,0.625,0.625
CORE 128,4.0,2.0,2.0,2085.285714285714,2,14,0.2857142857142857,0.14285714285714285
CTBC Flying Oyster,60.0,53.0,61.0,1901.178947368421,65,95,0.631578947368421,0.6421052631578947
CTBC Flying Oyster Academy,18.0,15.0,27.0,1851.7307692307693,22,52,0.34615384615384615,0.5192307692307693
Caldya Esport,10.0,6.0,6.0,2099.375,6,8,1.25,0.75
Chiefs Esports Club,13.0,9.0,9.0,1836.5714285714287,8,42,0.30952380952380953,0.21428571428571427
Citadel Gaming,12.0,10.0,10.0,1949.875,10,16,0.75,0.625
Clocks,16.0,10.0,24.0,1896.3333333333333,27,48,0.3333333333333333,0.5
Cloud9,41.0,34.0,28.0,1979.6666666666667,35,51,0.803921568627451,0.5490196078431373
Colossal Gaming,21.0,20.0,23.0,1808.8235294117646,23,34,0.6176470588235294,0.6764705882352942
Connect Arena Esports,0.0,0.0,3.0,1582.9375,0,16,0.0,0.1875
Contrata Logo Meu Time,5.0,5.0,6.0,1863.0,7,14,0.35714285714285715,0.42857142857142855
Conviction,34.0,23.0,22.0,2010.5111111111112,28,45,0.7555555555555555,0.4888888888888889
Corinthians Esports,22.0,14.0,21.0,2035.1304347826087,21,46,0.4782608695652174,0.45652173913043476
Crusaders,4.0,3.0,4.0,1690.875,4,8,0.5,0.5
Crvena zvezda Esports,36.0,29.0,50.0,1846.2941176470588,45,68,0.5294117647058824,0.7352941176470589
Cupid Esports,1.0,1.0,1.0,1957.0,0,4,0.25,0.25
DCT eSports,4.0,3.0,4.0,2067.9,4,10,0.4,0.4
DKB XPERION NXT,5.0,4.0,2.0,1936.5,3,6,0.8333333333333334,0.3333333333333333
DMG Esports,15.0,14.0,13.0,1817.25,15,40,0.375,0.325
DN Freecs,25.0,18.0,37.0,1971.576923076923,18,78,0.32051282051282054,0.47435897435897434
DN Freecs Academy,30.0,25.0,32.0,1886.4375,32,64,0.46875,0.5
DN Freecs Challengers,44.0,32.0,47.0,1930.2247191011236,48,89,0.4943820224719101,0.5280898876404494
DOCISK,10.0,8.0,8.0,1962.1153846153845,8,26,0.38461538461538464,0.3076923076923077
DRX,45.0,33.0,36.0,1984.2674418604652,33,86,0.5232558139534884,0.4186046511627907
DRX Academy,7.0,5.0,8.0,1731.22,4,50,0.14,0.16
DRX Challengers,58.0,47.0,56.0,2024.1444444444444,54,90,0.6444444444444445,0.6222222222222222
Dark Roses,2.0,2.0,1.0,1772.0,2,6,0.3333333333333333,0.16666666666666666
DarkZero Dragonsteel,23.0,19.0,24.0,1991.5777777777778,29,45,0.5111111111111111,0.5333333333333333
Deep Cross Gaming,39.0,37.0,58.0,1740.9058823529413,63,85,0.4588235294117647,0.6823529411764706
Delta Syndicate,20.0,16.0,17.0,1914.7209302325582,14,43,0.46511627906976744,0.3953488372093023
Deltan Gaming,17.0,15.0,21.0,1721.162162162162,24,37,0.4594594594594595,0.5675675675675675
DetonatioN FocusMe,11.0,10.0,14.0,1931.975,9,40,0.275,0.35
DetonatioN FocusMe Academy,13.0,12.0,19.0,1734.9772727272727,23,44,0.29545454545454547,0.4318181818181818
Dignitas,12.0,7.0,12.0,2078.2,9,35,0.34285714285714286,0.34285714285714286
Disguised,7.0,6.0,11.0,1973.9642857142858,5,28,0.25,0.39285714285714285
Diver (Portuguese Team),3.0,2.0,1.0,2367.0,2,2,1.5,0.5
Divernex,21.0,18.0,20.0,1905.9736842105262,18,38,0.5526315789473685,0.5263157894736842
Diversion Gaming,36.0,30.0,30.0,1855.2456140350878,37,57,0.631578947368421,0.5263157894736842
Dopamina E-Sport,23.0,14.0,19.0,1931.5757575757575,19,33,0.696969696969697,0.5757575757575758
Dorado Gaming,8.0,7.0,12.0,1864.0,10,17,0.47058823529411764,0.7058823529411765
Dplus KIA,47.0,41.0,42.0,1966.468085106383,51,94,0.5,0.44680851063829785
Dplus KIA Challengers,38.0,28.0,29.0,1971.057471264368,31,87,0.4367816091954023,0.3333333333333333
Dplus KIA Youth,25.0,21.0,29.0,1817.4516129032259,31,62,0.4032258064516129,0.46774193548387094
Dragons Esports,25.0,17.0,17.0,1953.5526315789473,20,38,0.6578947368421053,0.4473684210526316
Dream Makers,8.0,5.0,6.0,1979.125,6,16,0.5,0.375
Dream in 24,15.0,14.0,27.0,1710.525,29,40,0.375,0.675
Dung Dynasty,17.0,12.0,8.0,2046.923076923077,15,26,0.6538461538461539,0.3076923076923077
Dynamo Eclot,20.0,13.0,12.0,2005.4285714285713,14,35,0.5714285714285714,0.34285714285714286
Dynamo Eclot Talents,12.0,10.0,10.0,1877.9655172413793,11,29,0.41379310344827586,0.3448275862068966
E WIE EINFACH E-SPORTS,36.0,27.0,35.0,1972.4358974358975,38,78,0.46153846153846156,0.44871794871794873
EDG Youth Team,5.0,5.0,6.0,1773.8181818181818,5,11,0.45454545454545453,0.5454545454545454
EDward Gaming,25.0,0.0,0.0,2013.32,27,50,0.5,0.0
EKO Esports,18.0,14.0,12.0,1866.4324324324325,10,37,0.4864864864864865,0.32432432432432434
EXILE esports,12.0,7.0,10.0,1906.142857142857,8,35,0.34285714285714286,0.2857142857142857
