league,playername,kills,deaths,assists,damagetochampions
AL,Aeru,356,202,393,1413183
Asia Master,Cyku,71,33,90,251135
CD,Trigo,197,140,272,1062118
CT,Midnight,122,56,210,499455
EBL,Pesho,233,90,310,1032295
EM,Velja,181,87,265,598172
EWC,Hans Sama,52,19,53,245635
FST,Zeka,99,33,119,424702
HC,DVLK,298,180,343,1369512
HLL,Axelent,342,113,365,1246634
HM,Ascend,278,140,295,1117583
HW,ONLY,177,74,131,662760
LAS,Eclipse,467,232,541,1963847
LCK,Ruler,523,172,548,2260867
LCKC,Paduck,499,190,592,2209643
LCP,Doggo,383,111,351,1569644
LEC,Caliste,378,132,416,1818668
LFL,3XA,317,113,371,1534776
LFL2,HARPOON,351,114,297,1182504
LIT,Crem,228,82,245,1077228
LJL,Samver,378,90,413,1202923
LPL,Hope,689,222,834,2940562
LPLOL,Anonymouss,147,91,226,448585
LRN,Gavotto,237,93,338,1081974
LRS,ianshaka,220,80,278,1067451
LTA,Yeon,59,12,61,262478
LTA N,Massu,243,84,254,1125525
LTA S,TitaN,236,113,270,1266273
LVP SL,Legolas,425,195,409,1849113
MSI,Gumayusi,123,42,131,596474
NACL,Tactical,247,76,216,1105815
NEXO,Ace,183,84,214,776712
NLC,Crownie,279,68,271,992248
PCS,Feng,533,199,615,1849911
PRM,BEAN,373,111,414,1515234
PRMP,BEAN,67,21,63,213858
RL,Woolite,413,175,472,1702182
ROL,choego,306,108,360,1238740
TCL,ToongE,305,156,432,1553405
VCS,Aomine,240,69,300,1031495
