playername,score,kills,deaths,assists,damagetochampions
Shanks,6292.002,748,525,1608,3936002
Hope,5540.512,834,298,1042,3664512
Elk,5343.381,725,323,990,3628381
Knight,5066.058,742,336,1002,3322058
JackeyLove,4753.955,578,357,896,3279955
Creme,4573.15,502,340,913,3158150
Flandre,4373.976,444,353,1078,2851976
Ruler,4344.213,665,228,716,2963213
Viper,4322.064,618,251,760,2944064
Chovy,4318.494,444,240,879,2995494
Tarzan,4223.51,510,390,1334,2379510
GALA,4123.447,598,252,685,2840447
Bin,4071.663,466,334,899,2706663
Taeyoon,3999.707,505,304,666,2828707
Zeka,3951.965,489,281,775,2687965
Rookie,3900.849,414,273,876,2610849
369,3792.874,363,359,798,2631874
Faker,3780.6240000000003,389,275,830,2561624
Paduck,3778.308,557,231,689,2532308
Zinie,3777.081,426,278,755,2596081
Kanavi,3776.141,530,426,1062,2184141
Peyz,3775.634,493,207,630,2652634
Feng,3698.877,619,300,794,2285877
Leave,3654.169,467,290,588,2599169
Kiin,3633.906,397,303,766,2470906
Legolas,3616.167,564,277,575,2477167
Light,3603.649,468,224,626,2509649
Zeus,3583.543,427,354,724,2432543
kyeahoo,3579.946,401,211,707,2471946
About,3576.769,451,276,557,2568769
Czekolad,3554.931,399,278,726,2429931
Daystar,3507.951,366,327,762,2379951
Karis,3496.821,406,349,741,2349821
TheShy,3488.108,315,386,724,2449108
Gumayusi,3470.359,513,184,596,2361359
Doran,3457.015,359,379,744,2354015
Scout,3420.375,334,260,737,2349375
Fisher,3412.323,357,288,637,2418323
Xiaohu,3393.159,338,283,743,2312159
Aiming,3304.704,417,145,604,2283704
3XA,3295.985,473,169,572,2250985
Doggo,3294.134,528,164,494,2272134
Oner,3254.304,438,300,970,1846304
Caliste,3224.948,461,180,498,2265948
Jiwoo,3213.035,401,297,549,2263035
Soboro,3195.957,360,377,662,2173957
Axelent,3183.167,525,176,577,2081167
Slayer,3176.316,458,261,507,2211316
Shunn,3165.28,520,222,526,2119280
HongQ,3161.978,341,256,622,2198978
Vladi,3135.913,326,216,628,2181913
Canyon,3115.844,358,280,1004,1753844
Pyeonsik,3112.758,398,229,577,2137758
Smash,3110.888,479,184,550,2081888
BEAN,3094.719,503,166,564,2027719
Pungyeon,3086.96,314,306,587,2185960
Doinb,3073.212,320,262,741,2012212
Haetae,3051.143,309,287,552,2190143
Cube,3036.526,235,336,702,2099526
YoungJae,3023.734,447,304,841,1735734
Woolite,3015.294,450,227,567,1998294
Peanut,3013.979,351,342,1029,1633979
Kemish,2999.909,282,300,670,2047909
zamulek,2997.5190000000002,415,185,516,2066519
Rin,2982.354,375,195,547,2060354
Eclipse,2971.847,467,232,541,1963847
