gameid,teamname,partidas,vitorias,tipo_BO,vencedor
11715-11715_game_1,Oh My God,1,0,BO1,False
11715-11715_game_1,Weibo Gaming,1,1,BO1,True
11715-11715_game_2,Oh My God,1,0,BO1,False
11715-11715_game_2,Weibo Gaming,1,1,BO1,True
11715-11715_game_3,Oh My God,1,0,BO1,False
11715-11715_game_3,Weibo Gaming,1,1,BO1,True
11716-11716_game_1,LNG Esports,1,1,BO1,True
11716-11716_game_1,ThunderTalk Gaming,1,0,BO1,False
11716-11716_game_2,LNG Esports,1,0,BO1,False
11716-11716_game_2,ThunderTalk Gaming,1,1,BO1,True
11716-11716_game_3,LNG Esports,1,0,BO1,False
11716-11716_game_3,ThunderTalk Gaming,1,1,BO1,True
11716-11716_game_4,LNG Esports,1,0,BO1,False
11716-11716_game_4,ThunderTalk Gaming,1,1,BO1,True
11717-11717_game_1,FunPlus Phoenix,1,1,BO1,True
11717-11717_game_1,Royal Never Give Up,1,0,BO1,False
11717-11717_game_2,FunPlus Phoenix,1,0,BO1,False
11717-11717_game_2,Royal Never Give Up,1,1,BO1,True
11717-11717_game_3,FunPlus Phoenix,1,0,BO1,False
11717-11717_game_3,Royal Never Give Up,1,1,BO1,True
11717-11717_game_4,FunPlus Phoenix,1,0,BO1,False
11717-11717_game_4,Royal Never Give Up,1,1,BO1,True
11718-11718_game_1,Ultra Prime,1,0,BO1,False
11718-11718_game_1,Weibo Gaming,1,1,BO1,True
11718-11718_game_2,Ultra Prime,1,1,BO1,True
11718-11718_game_2,Weibo Gaming,1,0,BO1,False
11718-11718_game_3,Ultra Prime,1,0,BO1,False
11718-11718_game_3,Weibo Gaming,1,1,BO1,True
11718-11718_game_4,Ultra Prime,1,0,BO1,False
11718-11718_game_4,Weibo Gaming,1,1,BO1,True
11719-11719_game_1,Anyone's Legend,1,1,BO1,True
11719-11719_game_1,LGD Gaming,1,0,BO1,False
11719-11719_game_2,Anyone's Legend,1,1,BO1,True
11719-11719_game_2,LGD Gaming,1,0,BO1,False
11719-11719_game_3,Anyone's Legend,1,1,BO1,True
11719-11719_game_3,LGD Gaming,1,0,BO1,False
11720-11720_game_1,Bilibili Gaming,1,1,BO1,True
11720-11720_game_1,EDward Gaming,1,0,BO1,False
11720-11720_game_2,Bilibili Gaming,1,1,BO1,True
11720-11720_game_2,EDward Gaming,1,0,BO1,False
11720-11720_game_3,Bilibili Gaming,1,1,BO1,True
11720-11720_game_3,EDward Gaming,1,0,BO1,False
11721-11721_game_1,Team WE,1,0,BO1,False
11721-11721_game_1,Top Esports,1,1,BO1,True
11721-11721_game_2,Team WE,1,0,BO1,False
11721-11721_game_2,Top Esports,1,1,BO1,True
11721-11721_game_3,Team WE,1,0,BO1,False
11721-11721_game_3,Top Esports,1,1,BO1,True
11722-11722_game_1,Invictus Gaming,1,1,BO1,True
11722-11722_game_1,Ninjas in Pyjamas,1,0,BO1,False
11722-11722_game_2,Invictus Gaming,1,0,BO1,False
11722-11722_game_2,Ninjas in Pyjamas,1,1,BO1,True
11722-11722_game_3,Invictus Gaming,1,0,BO1,False
11722-11722_game_3,Ninjas in Pyjamas,1,1,BO1,True
11722-11722_game_4,Invictus Gaming,1,0,BO1,False
11722-11722_game_4,Ninjas in Pyjamas,1,1,BO1,True
11723-11723_game_1,JD Gaming,1,1,BO1,True
11723-11723_game_1,Ultra Prime,1,0,BO1,False
11723-11723_game_2,JD Gaming,1,1,BO1,True
11723-11723_game_2,Ultra Prime,1,0,BO1,False
11723-11723_game_3,JD Gaming,1,1,BO1,True
11723-11723_game_3,Ultra Prime,1,0,BO1,False
11724-11724_game_1,EDward Gaming,1,1,BO1,True
11724-11724_game_1,ThunderTalk Gaming,1,0,BO1,False
11724-11724_game_2,EDward Gaming,1,0,BO1,False
11724-11724_game_2,ThunderTalk Gaming,1,1,BO1,True
11724-11724_game_3,EDward Gaming,1,0,BO1,False
11724-11724_game_3,ThunderTalk Gaming,1,1,BO1,True
11724-11724_game_4,EDward Gaming,1,0,BO1,False
11724-11724_game_4,ThunderTalk Gaming,1,1,BO1,True
11725-11725_game_1,LGD Gaming,1,1,BO1,True
11725-11725_game_1,Team WE,1,0,BO1,False
11725-11725_game_2,LGD Gaming,1,1,BO1,True
11725-11725_game_2,Team WE,1,0,BO1,False
11725-11725_game_3,LGD Gaming,1,1,BO1,True
11725-11725_game_3,Team WE,1,0,BO1,False
11726-11726_game_1,Anyone's Legend,1,1,BO1,True
11726-11726_game_1,Top Esports,1,0,BO1,False
11726-11726_game_2,Anyone's Legend,1,0,BO1,False
11726-11726_game_2,Top Esports,1,1,BO1,True
11726-11726_game_3,Anyone's Legend,1,1,BO1,True
11726-11726_game_3,Top Esports,1,0,BO1,False
11726-11726_game_4,Anyone's Legend,1,1,BO1,True
11726-11726_game_4,Top Esports,1,0,BO1,False
11727-11727_game_1,Bilibili Gaming,1,1,BO1,True
11727-11727_game_1,LNG Esports,1,0,BO1,False
11727-11727_game_2,Bilibili Gaming,1,1,BO1,True
11727-11727_game_2,LNG Esports,1,0,BO1,False
11727-11727_game_3,Bilibili Gaming,1,1,BO1,True
11727-11727_game_3,LNG Esports,1,0,BO1,False
11728-11728_game_1,Invictus Gaming,1,0,BO1,False
11728-11728_game_1,Royal Never Give Up,1,1,BO1,True
11728-11728_game_2,Invictus Gaming,1,1,BO1,True
11728-11728_game_2,Royal Never Give Up,1,0,BO1,False
11728-11728_game_3,Invictus Gaming,1,1,BO1,True
11728-11728_game_3,Royal Never Give Up,1,0,BO1,False
11728-11728_game_4,Invictus Gaming,1,1,BO1,True
11728-11728_game_4,Royal Never Give Up,1,0,BO1,False
11729-11729_game_1,FunPlus Phoenix,1,0,BO1,False
11729-11729_game_1,Ninjas in Pyjamas,1,1,BO1,True
11729-11729_game_2,FunPlus Phoenix,1,0,BO1,False
11729-11729_game_2,Ninjas in Pyjamas,1,1,BO1,True
11729-11729_game_3,FunPlus Phoenix,1,0,BO1,False
11729-11729_game_3,Ninjas in Pyjamas,1,1,BO1,True
11730-11730_game_1,JD Gaming,1,0,BO1,False
