champion,pick_count
Rell,2461
Varus,2148
Xin Zhao,2132
Ezreal,2003
Ambessa,1896
Alistar,1826
Corki,1789
Nautilus,1779
Rumble,1775
Rakan,1722
Taliyah,1703
Leona,1645
Azir,1614
Vi,1586
Wukong,1415
K'Sante,1410
Ahri,1399
Kai'Sa,1391
Sejuani,1378
Jayce,1342
Miss Fortune,1322
Jhin,1305
Braum,1266
Viktor,1236
Sion,1218
Pantheon,1179
Aurora,1158
Gwen,1129
Maokai,1125
Orianna,1081
Yone,1056
Poppy,994
Renekton,943
Skarner,936
Galio,885
Ryze,854
Neeko,849
Jax,828
Xayah,819
Naafiri,813
Ashe,744
Gnar,728
Viego,711
Sylas,686
Lucian,684
Aatrox,676
Nocturne,617
Tristana,611
Hwei,594
Trundle,579
Sivir,567
Renata Glasc,566
Ornn,562
Akali,543
Kalista,523
Lillia,496
Jarvan IV,486
Jinx,473
Karma,470
Yorick,454
Annie,435
Syndra,428
Senna,406
Bard,398
Zeri,397
Zyra,391
Gragas,358
Lulu,356
Nidalee,329
Camille,308
Lee Sin,303
Caitlyn,261
Smolder,254
Ivern,254
Mel,235
Shen,229
Nami,224
Ziggs,221
Cho'Gath,206
Elise,205
Aphelios,162
Yunara,158
Blitzcrank,154
Volibear,143
Pyke,142
LeBlanc,137
Seraphine,133
Draven,133
Olaf,133
Dr. Mundo,132
Kindred,131
Zed,126
Thresh,125
Milio,115
Vladimir,112
Cassiopeia,109
Fiora,106
Yasuo,98
Kennen,98
Irelia,85
Sett,81
Swain,73
Udyr,73
Amumu,70
Malphite,69
Gangplank,67
Darius,66
Tahm Kench,65
Aurelion Sol,60
Garen,60
Zoe,58
Twisted Fate,57
Xerath,55
Taric,53
Kog'Maw,52
Mordekaiser,50
Lux,47
Zac,47
Karthus,41
Fiddlesticks,41
Brand,39
Diana,39
Kayn,37
Lissandra,37
Vayne,36
Yuumi,35
Zilean,34
Janna,33
Bel'Veth,32
Kha'Zix,32
Urgot,31
Anivia,31
Soraka,30
Twitch,29
Morgana,27
Warwick,26
Nilah,25
Vex,24
Vel'Koz,23
Nunu & Willump,22
Kassadin,21
Veigar,20
Tryndamere,20
Kled,19
Ekko,18
Kayle,17
Shyvana,15
Riven,14
Rek'Sai,14
Rengar,12
Graves,11
Hecarim,11
Talon,11
Akshan,9
Nasus,9
Qiyana,9
Malzahar,9
Sona,9
Quinn,7
Katarina,7
Master Yi,7
Samira,7
Teemo,6
Illaoi,6
Singed,6
Shaco,6
Evelynn,4
Rammus,3
Heimerdinger,3
Fizz,1
Briar,1
