league,picked_champion,pick_count
AL,Rell,88
AL,Leona,80
AL,Varus,75
AL,Nautilus,70
AL,Ezreal,67
AL,Ambessa,66
AL,Corki,66
AL,Xin Zhao,65
AL,Maokai,57
AL,K'Sante,55
AL,Rakan,53
AL,Kai'Sa,51
AL,Azir,50
AL,Sejuani,50
AL,Wukong,50
AL,Alistar,49
AL,Jayce,49
AL,Aurora,46
AL,Rumble,46
AL,Sion,46
AL,Ahri,45
AL,Pantheon,45
AL,Vi,43
AL,Viktor,42
AL,Braum,40
AL,Jhin,40
AL,Yone,40
AL,Taliyah,39
AL,Miss Fortune,37
AL,Orianna,37
AL,Poppy,36
AL,Sivir,36
AL,Tristana,35
AL,Aatrox,34
AL,Akali,34
AL,Renekton,34
AL,Nocturne,32
AL,Galio,29
AL,Xayah,28
AL,Gnar,27
AL,Gwen,27
AL,Jax,25
AL,Naafiri,24
AL,Skarner,24
AL,Hwei,22
AL,Jinx,22
AL,Neeko,22
AL,Jarvan IV,21
AL,Mel,20
AL,Renata Glasc,20
AL,Sylas,20
AL,Kalista,18
AL,Viego,18
AL,Ashe,17
AL,Ornn,17
AL,Ivern,16
AL,Trundle,16
AL,Yorick,16
AL,Gragas,15
AL,Ryze,15
AL,Zeri,15
AL,Cho'Gath,14
AL,Annie,13
AL,Camille,13
AL,Karma,13
AL,Syndra,13
AL,LeBlanc,12
AL,Lillia,12
AL,Lucian,12
AL,Lulu,12
AL,Volibear,12
AL,Fiora,11
AL,Senna,10
AL,Nidalee,9
AL,Olaf,9
AL,Pyke,9
AL,Bard,8
AL,Lee Sin,8
AL,Zyra,8
AL,Aphelios,7
AL,Elise,7
AL,Dr. Mundo,6
AL,Draven,6
AL,Smolder,6
AL,Swain,6
AL,Brand,5
AL,Caitlyn,5
AL,Irelia,5
AL,Amumu,4
AL,Malphite,4
AL,Nami,4
AL,Udyr,4
AL,Blitzcrank,3
AL,Karthus,3
AL,Mordekaiser,3
AL,Seraphine,3
AL,Shen,3
AL,Vex,3
AL,Ziggs,3
AL,Zoe,3
AL,Darius,2
AL,Janna,2
AL,Kennen,2
AL,Sett,2
AL,Tahm Kench,2
AL,Taric,2
AL,Thresh,2
AL,Twitch,2
AL,Vladimir,2
AL,Yasuo,2
AL,Zed,2
AL,Aurelion Sol,1
AL,Cassiopeia,1
AL,Diana,1
AL,Fiddlesticks,1
AL,Kindred,1
AL,Kog'Maw,1
AL,Lux,1
AL,Milio,1
AL,Nilah,1
AL,Soraka,1
AL,Talon,1
AL,Tryndamere,1
AL,Twisted Fate,1
AL,Warwick,1
AL,Yuumi,1
Asia Master,Xin Zhao,48
Asia Master,Alistar,41
Asia Master,Rumble,41
Asia Master,Taliyah,40
Asia Master,Rell,39
Asia Master,Rakan,37
Asia Master,Lee Sin,33
Asia Master,Ahri,32
Asia Master,Gwen,30
Asia Master,Nautilus,29
Asia Master,Lucian,28
Asia Master,Sion,28
Asia Master,Varus,27
Asia Master,Vi,26
Asia Master,Wukong,26
Asia Master,Xayah,26
Asia Master,Ambessa,23
Asia Master,Azir,23
Asia Master,Jax,23
Asia Master,Ezreal,22
Asia Master,Jhin,22
Asia Master,K'Sante,20
Asia Master,Kai'Sa,19
Asia Master,Trundle,19
Asia Master,Aurora,17
Asia Master,Ryze,17
Asia Master,Corki,16
Asia Master,Annie,15
Asia Master,Braum,15
Asia Master,Jayce,15
Asia Master,Neeko,15
Asia Master,Orianna,15
Asia Master,Sivir,15
Asia Master,Sylas,15
Asia Master,Poppy,14
Asia Master,Galio,11
Asia Master,Pantheon,11
Asia Master,Skarner,11
Asia Master,Leona,10
Asia Master,Aatrox,9
Asia Master,Senna,9
Asia Master,Twisted Fate,9
Asia Master,Viktor,9
Asia Master,Yorick,9
