teamname,infernals,mountains,clouds,oceans,chemtechs,hextechs,elders,dragons_total,wins,games,infernals_per_win,mountains_per_win,clouds_per_win,oceans_per_win,chemtechs_per_win,hextechs_per_win,elders_per_win,dragons_total_per_win
100 Thieves,20.0,10.0,15.0,20.0,14.0,12.0,4.0,95.0,20,40,1.0,0.5,0.75,1.0,0.7,0.6,0.2,4.75
3BL Esports,3.0,1.0,3.0,4.0,2.0,4.0,1.0,18.0,1,7,3.0,1.0,3.0,4.0,2.0,4.0,1.0,18.0
5M Esports,0.0,0.0,1.0,3.0,0.0,1.0,0.0,5.0,1,2,0.0,0.0,1.0,3.0,0.0,1.0,0.0,5.0
A One Man Army,20.0,15.0,19.0,13.0,18.0,8.0,4.0,97.0,19,44,1.0526315789473684,0.7894736842105263,1.0,0.6842105263157895,0.9473684210526315,0.42105263157894735,0.21052631578947367,5.105263157894737
A One Man Army Prime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A One Man Army Prime Academy,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0,2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
AKA HERO,0.0,0.0,3.0,0.0,2.0,0.0,0.0,5.0,1,3,0.0,0.0,3.0,0.0,2.0,0.0,0.0,5.0
AVE Axolotl,13.0,17.0,16.0,26.0,19.0,21.0,2.0,114.0,27,53,0.48148148148148145,0.6296296296296297,0.5925925925925926,0.9629629629629629,0.7037037037037037,0.7777777777777778,0.07407407407407407,4.222222222222222
Actions Per Minute,13.0,14.0,18.0,18.0,9.0,8.0,3.0,83.0,14,45,0.9285714285714286,1.0,1.2857142857142858,1.2857142857142858,0.6428571428571429,0.5714285714285714,0.21428571428571427,5.928571428571429
All for One Gaming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpha7 Esports,3.0,2.0,1.0,2.0,2.0,4.0,1.0,15.0,5,9,0.6,0.4,0.2,0.4,0.4,0.8,0.2,3.0
