playername,champion,kills,deaths,assists,damagetochampions,wins,games_played,winrate,avg_kills,avg_deaths,avg_assists,avg_damage
 BLWeaksideWizar,Anivia,1,7,3,12690,0,1,0.0,1.0,7.0,3.0,12690.0
 BLWeaksideWizar,Ziggs,0,1,4,19843,0,1,0.0,0.0,1.0,4.0,19843.0
0909,Aurora,4,5,1,14649,0,1,0.0,4.0,5.0,1.0,14649.0
0909,Orianna,1,2,6,26205,0,1,0.0,1.0,2.0,6.0,26205.0
0909,Taliyah,7,3,11,28099,1,1,1.0,7.0,3.0,11.0,28099.0
0ri,Gwen,9,9,7,21875,1,1,1.0,9.0,9.0,7.0,21875.0
0ri,Kha'Zix,4,3,7,14545,0,1,0.0,4.0,3.0,7.0,14545.0
0ri,Lillia,2,1,16,16985,1,1,1.0,2.0,1.0,16.0,16985.0
0ri,Maokai,5,10,31,39958,2,3,0.6666666666666666,1.6666666666666667,3.3333333333333335,10.333333333333334,13319.333333333334
0ri,Morgana,6,3,15,29526,1,1,1.0,6.0,3.0,15.0,29526.0
0ri,Naafiri,26,9,22,65265,2,3,0.6666666666666666,8.666666666666666,3.0,7.333333333333333,21755.0
0ri,Nocturne,3,5,5,9641,0,1,0.0,3.0,5.0,5.0,9641.0
0ri,Pantheon,16,23,17,47577,1,4,0.25,4.0,5.75,4.25,11894.25
0ri,Poppy,7,3,10,17237,1,1,1.0,7.0,3.0,10.0,17237.0
0ri,Rek'Sai,5,6,0,10576,0,1,0.0,5.0,6.0,0.0,10576.0
0ri,Sejuani,3,11,13,25764,0,2,0.0,1.5,5.5,6.5,12882.0
0ri,Viego,9,7,5,25210,0,2,0.0,4.5,3.5,2.5,12605.0
0ri,Wukong,15,10,22,36049,2,4,0.5,3.75,2.5,5.5,9012.25
0ri,Xin Zhao,3,28,11,45443,0,4,0.0,0.75,7.0,2.75,11360.75
1116,Ahri,61,22,71,224555,5,9,0.5555555555555556,6.777777777777778,2.4444444444444446,7.888888888888889,24950.555555555555
1116,Akali,15,4,5,35588,1,1,1.0,15.0,4.0,5.0,35588.0
1116,Annie,20,11,30,70936,3,3,1.0,6.666666666666667,3.6666666666666665,10.0,23645.333333333332
1116,Aurora,103,40,89,424084,8,13,0.6153846153846154,7.923076923076923,3.076923076923077,6.846153846153846,32621.846153846152
1116,Cassiopeia,6,5,10,23910,0,1,0.0,6.0,5.0,10.0,23910.0
1116,Corki,14,9,4,49642,1,2,0.5,7.0,4.5,2.0,24821.0
1116,Galio,11,6,26,43333,2,2,1.0,5.5,3.0,13.0,21666.5
1116,Hwei,12,10,17,94912,0,3,0.0,4.0,3.3333333333333335,5.666666666666667,31637.333333333332
1116,Jayce,37,27,45,149736,4,6,0.6666666666666666,6.166666666666667,4.5,7.5,24956.0
1116,Karma,18,18,39,92598,2,4,0.5,4.5,4.5,9.75,23149.5
1116,LeBlanc,5,5,9,19832,1,1,1.0,5.0,5.0,9.0,19832.0
1116,Mel,14,4,9,60744,2,2,1.0,7.0,2.0,4.5,30372.0
1116,Orianna,4,6,7,24240,0,1,0.0,4.0,6.0,7.0,24240.0
1116,Ryze,41,24,49,161416,5,7,0.7142857142857143,5.857142857142857,3.4285714285714284,7.0,23059.428571428572
1116,Sylas,10,12,20,58192,2,3,0.6666666666666666,3.3333333333333335,4.0,6.666666666666667,19397.333333333332
1116,Syndra,16,4,16,71490,2,2,1.0,8.0,2.0,8.0,35745.0
1116,Taliyah,20,17,55,110702,3,5,0.6,4.0,3.4,11.0,22140.4
1116,Tristana,16,12,21,58146,2,3,0.6666666666666666,5.333333333333333,4.0,7.0,19382.0
