playername,mean_kills,std_kills,mean_deaths,std_deaths,mean_damage,std_damage
 BLWeaksideWizar,0.5,0.7071067811865476,4.0,4.242640687119285,16266.5,5057.9348058273745
0909,4.0,3.0,3.3333333333333335,1.5275252316519468,22984.333333333332,7280.46326364836
0ri,3.896551724137931,2.968222503045586,4.413793103448276,2.163285222910984,13987.965517241379,5910.209130230012
1116,6.256756756756757,3.8961196389987913,3.675675675675676,2.1840524612853964,26093.12162162162,10644.398089306678
113,2.5294117647058822,1.9631906802597714,3.843137254901961,2.129530925059393,16468.470588235294,6328.120688965853
13,5.325581395348837,3.234640851724597,3.3255813953488373,1.7555480792884157,24868.74418604651,10799.246528154556
1Jiang,2.4838709677419355,1.9480291468169126,2.935483870967742,1.7165631669976391,17570.41935483871,5528.908944479061
1Zeus,1.0,,7.0,,9158.0,
1xn,4.01063829787234,3.167355943719687,2.776595744680851,1.7728796532556665,22362.617021276597,9141.59628787335
2274,0.8653846153846154,1.252900104836714,5.615384615384615,3.157026686017915,7364.307692307692,3512.998878331069
2Guns,3.8,2.573367875415838,2.4,1.6465452046971292,26205.8,10406.15818531401
369,2.8359375,2.1763848654769604,2.8046875,1.748153553454814,20561.515625,8127.189072503874
3XA,5.5,2.9852578960422087,1.9651162790697674,1.5900253377086175,26174.24418604651,11418.803028788081
452apm,6.153846153846154,4.534765987799433,3.2115384615384617,1.9836245144124374,24092.865384615383,10565.869508550608
5M Crop,1.5,2.1213203435596424,5.0,2.8284271247461903,12931.5,9053.088119531369
5M Profirio,1.5,0.7071067811865476,5.0,2.8284271247461903,10004.0,3152.282030529629
5M Ratao,6.0,7.0710678118654755,6.0,0.0,22272.5,16409.82707099621
5M Theop,3.5,3.5355339059327378,4.5,2.1213203435596424,14186.5,9877.574626394882
5t5,1.0,1.0,3.8,1.6431676725154984,9414.0,4152.094652100311
665,4.823529411764706,3.2739101079531774,3.152941176470588,2.0673532789129037,16922.894117647058,6303.18419346529
