playername,cs_total,cspm,minionkills,monsterkills,games_played
 BLWeaksideWizar,455.0,0.13902793288661988,454.0,1,2
0909,767.0,0.14896810934360064,763.0,4,3
0ri,5386.0,0.09914163210549456,627.0,4759,29
1116,18472.0,0.13916180041141188,17852.0,620,74
113,9946.0,0.09412338219755592,1098.0,8848,51
13,11318.0,0.1379472204506557,10822.0,496,43
1Jiang,15375.0,0.12680066979310908,14972.0,403,62
1Zeus,145.0,0.10454217736121124,25.0,120,1
1xn,27686.0,0.15662568878618252,26684.0,1002,94
2274,1611.0,0.01701680265258928,1604.0,7,52
2Guns,3025.0,0.14688408630353494,2944.0,81,10
369,33340.0,0.13438205206736975,32082.0,1258,128
3XA,27968.0,0.16487511249314551,26268.0,1700,86
452apm,14004.0,0.14677208223752736,13327.0,677,52
5M Crop,391.0,0.10139016457567743,391.0,0,2
5M Profirio,82.0,0.022163547736839248,82.0,0,2
5M Ratao,559.0,0.14269086193217012,540.0,19,2
5M Theop,360.0,0.09292401057164129,42.0,318,2
5t5,1201.0,0.11124841170275394,142.0,1059,5
665,16528.0,0.11211497439444897,1644.0,14884,85
6ax,6106.0,0.1404315505858723,5961.0,145,24
6onza,518.0,0.13445485815658254,507.0,11,2
7D 6onza,808.0,0.14292714943160995,791.0,17,3
7D AlluK,349.0,0.10348111916275428,32.0,317,2
7D Max,85.0,0.015157323832862175,85.0,0,3
89,3900.0,0.08390269509914651,441.0,3459,26
9eetoo,1536.0,0.12387022667564049,1516.0,20,7
A1MA Gimko,331.0,0.0914904567455288,29.0,302,2
A1MA Pucki,445.0,0.12284959307725526,443.0,2,2
A1MATrailblazer,58.0,0.016026603936372803,53.0,5,2
AAXL Mario,117.0,0.07395701643489254,13.0,104,1
AAXL Shack,231.0,0.14601769911504425,231.0,0,1
AAXL Tigrot,29.0,0.018331226295828066,29.0,0,1
AIM4,1895.0,0.12877852236810441,1870.0,25,8
AKaJe,11912.0,0.13761586956580693,11771.0,141,50
ALNSHT,8639.0,0.14505875739681312,8438.0,201,32
AMBAN,156.0,0.10663021189336978,22.0,134,1
AMI Dcoy,202.0,0.1235474006116208,200.0,2,1
ANDARIEL,11933.0,0.13897146528149404,11657.0,276,44
AOMA Cacnea,55.0,0.013558856608477079,55.0,0,2
APA,16611.0,0.1415334020409471,16280.0,331,60
APE Thorfin,1039.0,0.11041654753324179,111.0,928,5
APP,12480.0,0.12716602630381088,12072.0,408,52
ARA DarkPhoenix,838.0,0.14662376418601572,828.0,10,3
ARA Slix,447.0,0.11545659661260077,447.0,0,2
Abagnale,2172.0,0.01869921015814899,2157.0,15,59
Abbedagge,6631.0,0.1421691614435658,6446.0,185,24
Ablazeolive,3577.0,0.1463790200576202,3456.0,121,12
Abner,1137.0,0.15964602350664558,1099.0,38,4
About,30128.0,0.1649726444797696,28529.0,1599,95
Abyss,2372.0,0.019483426781430065,2339.0,33,67
Ace,15189.0,0.14764639403535104,14471.0,718,53
Achael,11121.0,0.12578458901467818,11024.0,97,49
Ackerman,1720.0,0.019765391049009328,1703.0,17,46
Adam,8837.0,0.13848021937123123,8626.0,211,31
Addusto,14479.0,0.1374814111308804,14106.0,373,52
Adiogs,14377.0,0.12652256479138738,14065.0,312,63
Adiss,4388.0,0.12614297472574884,4341.0,47,19
Adizai,2185.0,0.11188579110955484,2179.0,6,12
Adryh,1871.0,0.1380961928957196,1867.0,4,9
Advienne,43.0,0.007059389761954734,43.0,0,3
Ady,7011.0,0.1291122504719983,6880.0,131,31
Adyyy,5933.0,0.13956697708629598,5833.0,100,22
Aegis,5737.0,0.10386392670351541,705.0,5032,27
Aeru,17525.0,0.14308633745246485,16872.0,653,64
Aetinoth,19155.0,0.15181349995139262,18164.0,991,64
Afriibi,18511.0,0.15256200261489608,17783.0,728,63
Afroboi,17960.0,0.11700548377768023,2068.0,15892,78
Aglaro,88.0,0.022206054009716703,88.0,0,2
Agresivoo,16099.0,0.1341524127155659,15519.0,580,61
Agurin,14084.0,0.12446690782887593,1863.0,12221,57
Ahn,12206.0,0.15123060637700453,11859.0,347,40
Aikawa,7728.0,0.1542613639732071,7409.0,319,24
Aiming,29904.0,0.16109781863995568,28598.0,1306,94
Aincardz,5273.0,0.10231077813231837,664.0,4609,25
Air,2327.0,0.14118695249402413,2279.0,48,9
Airren,10669.0,0.15183899220396915,10187.0,482,35
AisyL,2639.0,0.15089643971724337,2509.0,130,9
Aithusa,12184.0,0.13697712749322036,12015.0,169,46
Aitlade,2724.0,0.1340175214366891,2681.0,43,11
Aitze,914.0,0.11795503692618503,899.0,15,4
Ajwad,3477.0,0.1076718329771111,381.0,3096,16
AkHasspun,107.0,0.016530839306029634,107.0,0,4
Akabane,169.0,0.11943462897526502,5.0,164,1
Akanania,4320.0,0.1445920378703189,4187.0,133,16
Akashi,8171.0,0.1309037617685421,7950.0,221,31
Aki,19783.0,0.1067467334780258,2244.0,17539,94
Akira,124.0,0.020089863669483066,124.0,0,3
Aklass,15759.0,0.14415298460974582,15270.0,489,58
Akrantor,1323.0,0.12454046041812283,1303.0,20,5
Akre,692.0,0.12090877109084576,83.0,609,3
Akunma,562.0,0.11634394357062029,562.0,0,3
Aladoric,562.0,0.015955587170025876,554.0,8,18
Alan,2158.0,0.13966295790711147,2132.0,26,8
Alaric,248.0,0.015028240773442007,248.0,0,9
Alba,292.0,0.12320675105485232,47.0,245,1
Ale,21374.0,0.13129692789112662,20754.0,620,83
Alex,258.0,0.11492204899777284,254.0,4,1
Alex234,7930.0,0.09626163074694316,864.0,7066,45
Alive,6001.0,0.1486705105684791,5686.0,315,19
Alleycat,1427.0,0.12800969300099554,1401.0,26,5
AlluK,3177.0,0.09396336088961145,378.0,2799,17
Alvanai,7338.0,0.14014118210736853,7145.0,193,28
Alvaro,2760.0,0.017463523553743497,2750.0,10,79
Alén Stark,2863.0,0.1270789536912746,2846.0,17,12
Amarizo,577.0,0.1509105939739139,573.0,4,2
Anato,1769.0,0.09219195168612937,226.0,1543,10
Ancrath,1823.0,0.11171580869531529,233.0,1590,9
Andathy,5354.0,0.1018222361520173,686.0,4668,27
Andil,2985.0,0.017368505365487567,2979.0,6,88
Andreus,854.0,0.14207863655037825,814.0,40,3
