playername,doublekills,triplekills,quadrakills,pentakills
 BLWeaksideWizar,0.0,0.0,0.0,0.0
0909,1.0,0.0,0.0,0.0
0ri,8.0,3.0,0.0,0.0
1116,62.0,8.0,1.0,0.0
113,12.0,1.0,0.0,0.0
13,35.0,7.0,0.0,0.0
1Jiang,0.0,0.0,0.0,0.0
1Zeus,0.0,0.0,0.0,0.0
1xn,0.0,0.0,0.0,0.0
2274,0.0,0.0,0.0,0.0
2Guns,6.0,1.0,0.0,0.0
369,2.0,1.0,0.0,0.0
3XA,69.0,21.0,3.0,0.0
452apm,53.0,18.0,6.0,2.0
5M Crop,0.0,0.0,0.0,0.0
5M Profirio,0.0,0.0,0.0,0.0
5M Ratao,1.0,0.0,0.0,0.0
5M Theop,0.0,0.0,0.0,0.0
5t5,0.0,0.0,0.0,0.0
665,49.0,8.0,1.0,0.0
6ax,9.0,2.0,0.0,0.0
6onza,0.0,0.0,0.0,0.0
7D 6onza,1.0,0.0,0.0,0.0
7D AlluK,0.0,0.0,0.0,0.0
7D Max,0.0,0.0,0.0,0.0
89,4.0,0.0,0.0,0.0
9eetoo,0.0,0.0,0.0,0.0
A1MA Gimko,0.0,0.0,0.0,0.0
A1MA Pucki,0.0,0.0,0.0,0.0
A1MATrailblazer,0.0,0.0,0.0,0.0
AAXL Mario,0.0,0.0,0.0,0.0
AAXL Shack,0.0,0.0,0.0,0.0
AAXL Tigrot,0.0,0.0,0.0,0.0
AIM4,0.0,0.0,0.0,0.0
AKaJe,18.0,5.0,0.0,0.0
ALNSHT,15.0,2.0,0.0,0.0
AMBAN,0.0,0.0,0.0,0.0
AMI Dcoy,0.0,0.0,0.0,0.0
ANDARIEL,25.0,6.0,1.0,0.0
AOMA Cacnea,0.0,0.0,0.0,0.0
APA,20.0,5.0,1.0,0.0
APE Thorfin,5.0,1.0,0.0,0.0
APP,13.0,1.0,0.0,0.0
ARA DarkPhoenix,0.0,0.0,0.0,0.0
ARA Slix,0.0,0.0,0.0,0.0
Abagnale,4.0,0.0,0.0,0.0
Abbedagge,3.0,0.0,0.0,0.0
Ablazeolive,7.0,1.0,1.0,1.0
Abner,9.0,0.0,0.0,0.0
About,74.0,23.0,7.0,2.0
Abyss,4.0,1.0,0.0,0.0
Ace,53.0,14.0,2.0,1.0
Achael,17.0,4.0,1.0,0.0
Ackerman,2.0,0.0,0.0,0.0
Adam,13.0,2.0,0.0,0.0
Addusto,20.0,4.0,0.0,0.0
Adiogs,34.0,8.0,2.0,0.0
Adiss,2.0,0.0,0.0,0.0
Adizai,0.0,0.0,0.0,0.0
