playername,kills,deaths,assists,damagetochampions,dpm,visionscore,totalgold
 BLWeaksideWizar,1,8,7,32533,600.204,37,18386
0909,12,10,18,68953,808.6053,64,36205
0ri,113,128,181,405651,439.413724137931,814,322537
1116,463,272,561,1930891,862.0234567567568,2069,977501
113,129,196,420,839892,464.5607176470588,2245,595641
13,229,143,240,1069356,768.2648511627907,1234,585921
1Jiang,154,182,335,1089366,536.5745274193548,2219,757872
1Zeus,1,7,2,9158,396.1644,26,7320
1xn,377,261,463,2102086,702.9086,3395,1278880
2274,45,292,492,382944,241.37735,5720,395204
2Guns,38,24,73,262058,750.69079,345,144722
369,363,359,798,2631874,627.189059375,3982,1637133
3XA,473,169,572,2250985,784.1764906976744,3649,1336014
452apm,320,167,343,1252829,785.5770365384615,1154,731474
5M Crop,3,10,5,25863,374.3908,48,20002
5M Profirio,3,10,19,20008,348.9185,161,16198
5M Ratao,12,12,12,44545,640.0591,43,29351
5M Theop,7,9,13,28373,411.04125,44,22473
5t5,5,19,14,47070,253.7661,281,58197
665,410,268,912,1438446,583.3010835294118,3357,988252
6ax,93,77,176,536683,736.5942916666667,678,295359
6onza,5,8,4,28949,451.34685,75,23385
7D 6onza,7,5,14,68298,698.3793666666667,128,35079
7D AlluK,8,2,23,26983,486.90545,80,22300
7D Max,1,13,24,11360,122.53766666666667,314,21335
89,60,111,178,274994,348.9525192307692,834,254840
9eetoo,14,25,24,142864,683.9925428571429,188,76312
A1MA Gimko,4,10,21,26416,438.87694999999997,59,20120
A1MA Pucki,7,7,13,44226,734.28445,57,21138
A1MATrailblazer,4,14,22,17522,291.4593,169,16013
AAXL Mario,2,7,5,12920,490.0126,21,9312
AAXL Shack,1,5,4,14324,543.2617,14,9613
AAXL Tigrot,0,5,5,2350,89.1277,73,5724
AIM4,19,30,36,168331,668.7606,195,87768
AKaJe,183,170,238,1074412,731.12614,1143,569829
ALNSHT,130,68,189,708234,707.969559375,715,420131
AMBAN,6,5,4,18093,742.0232,19,9824
AMI Dcoy,3,1,8,15058,552.5872,13,10915
ANDARIEL,209,128,283,1095471,754.9304568181818,1315,604836
AOMA Cacnea,1,3,22,10786,149.14685,242,18107
APA,200,172,383,1447535,726.6272616666666,2484,801073
APE Thorfin,25,14,53,70361,454.72598,200,65365
APP,140,148,311,976003,590.6368865384616,1232,627821
ARA DarkPhoenix,3,10,13,47949,498.21343333333334,46,35497
ARA Slix,3,7,7,26012,402.0451,46,21077
Abagnale,54,251,753,384703,193.7905474576271,6476,496822
Abbedagge,52,100,68,465086,593.9447333333334,869,294198
Ablazeolive,48,30,69,281503,681.3886583333334,449,172482
Abner,40,9,25,108080,856.82345,85,63578
About,451,276,557,2568769,820.4685863157895,3775,1397902
Abyss,116,245,833,684054,337.8325268656717,7081,558862
Ace,308,166,363,1366782,782.6575641509434,1642,767585
Achael,157,221,229,970055,630.8074612244898,1090,558856
Ackerman,27,118,418,326076,220.64819347826088,5193,358995
Adam,106,98,124,634839,575.8641096774194,1129,428280
Addusto,202,184,281,1259748,694.9753192307692,1469,726747
Adiogs,317,286,617,1602938,835.1608507936509,1878,767820
Adiss,40,60,134,317626,535.7934578947368,448,213558
Adizai,17,49,39,164947,508.167625,204,107768
Adryh,10,36,20,115008,505.77057777777776,161,79723
Advienne,6,17,56,27108,268.3789,299,25856
Ady,112,102,246,649946,718.306706451613,890,360373
Adyyy,100,80,134,557587,769.2631136363635,465,295952
Aegis,78,82,241,351864,371.0157740740741,1170,325375
Aeru,386,231,417,1558866,750.216425,1448,903809
Aetinoth,378,144,353,1631068,770.4750765625,2211,959340
Afriibi,317,179,426,1641964,796.2599650793651,1638,915099
Afroboi,287,221,495,1056128,406.36308333333335,2787,971866
Aglaro,3,15,11,17014,250.0197,191,15813
Agresivoo,261,199,334,1426874,705.1201180327869,1884,828020
Agurin,238,233,528,1197207,631.6036456140351,2545,770501
Ahn,163,92,263,960929,709.3752274999999,1673,579907
Aikawa,66,56,119,584368,669.5609416666667,929,339902
Aiming,417,145,604,2283704,733.4581468085106,3796,1386024
Aincardz,98,118,227,439219,500.15511200000003,1118,319629
Air,24,41,52,204310,726.2378333333334,201,108469
Airren,155,95,230,795774,648.6294342857143,920,511124
AisyL,45,32,78,213690,755.0880111111111,330,129259
Aithusa,153,114,258,938904,631.3467956521739,1593,596018
Aitlade,48,34,57,218159,649.2383363636363,226,136676
Aitze,20,12,37,81411,629.56005,78,49336
Ajwad,74,51,141,262349,477.0781375,595,201833
AkHasspun,1,19,30,22084,202.28295,266,24222
Akabane,3,2,15,12282,520.7915,27,10191
Akanania,81,45,113,350557,698.891825,604,216825
Akashi,112,109,252,751900,714.5214741935484,1119,416499
Aki,269,331,664,1258364,400.5712170212766,4312,1095150
Akira,3,10,57,23235,238.59696666666665,374,27309
Aklass,284,186,302,1309908,709.3041775862068,1539,772012
Akrantor,13,18,45,100644,573.0608599999999,134,71481
Akre,15,9,24,68764,718.0101666666666,95,39123
Akunma,1,9,7,29392,361.2038333333333,82,24785
Aladoric,18,53,226,137916,229.3363,2041,151653
Alan,32,23,56,181949,686.7042875,254,107067
Alaric,8,24,115,64153,231.16766666666666,941,72098
Alba,8,7,7,41571,1052.4304,29,15304
Ale,222,214,544,1545262,563.4740578313252,2746,1066272
Alex,3,3,5,19681,525.9955,29,13880
Alex234,102,175,303,535640,390.87008000000003,1892,457507
Alive,91,59,122,440222,646.2159578947368,875,288464
Alleycat,19,23,32,132276,693.9296400000001,182,68725
AlluK,42,67,116,233168,400.9523294117647,823,192789
Alvanai,116,120,164,556279,632.0934785714286,785,361076
Alvaro,49,244,817,490059,183.96950506329114,10006,662311
Alén Stark,26,38,49,183702,494.7021,271,132471
Amarizo,7,9,5,63661,1011.5555499999999,40,27940
Anato,35,33,58,110963,334.53096999999997,501,112321
Ancrath,27,32,48,148162,537.1445777777777,404,100407
Andathy,84,129,193,392274,450.0399666666667,1035,309346
Andil,52,352,830,579035,197.2734056818182,9756,697623
Andreus,13,10,13,70526,684.5425666666666,77,39754
Angel,148,87,346,1104543,655.902788,2176,669894
AnnieBot,17,22,16,106669,651.5688600000001,116,59698
Anonymouss,215,161,365,717485,591.0924474999999,1456,508577
Anthrax,18,87,222,157541,232.11613499999999,1989,162465
Antonio,141,73,205,756274,612.1601405405406,878,498730
Antos,3,14,17,16403,199.8745,298,19753
Anyone,203,141,240,1075909,734.3637512195122,933,597209
Anyyy,60,43,106,508462,650.4869227272727,827,304989
Aojune,91,102,166,659615,696.634725,805,374944
Aomine,274,74,344,1146442,801.1138953488372,1516,666381
Apatheia,42,67,122,210321,486.9312076923077,470,157305
Apollonia,4,5,1,28565,582.5450000000001,29,18486
ArQuel,26,62,70,197837,389.9978866666667,438,162919
Arcano,7,14,13,30784,376.33096666666665,44,27438
Archfiend,36,57,85,240187,595.9285142857143,339,148104
Ardo,24,127,328,170941,208.2942833333333,2568,205450
Aress,122,101,256,837677,531.7109653061225,1762,627905
Argonauta,4,39,112,60845,177.35721,1131,80807
Aria,144,101,215,910597,702.1931225000001,1557,520442
Ariana,71,59,87,387675,737.8102529411765,364,204843
Armut,215,180,361,1293679,644.0213233333333,2277,799067
Arn,83,76,224,522619,590.5409814814815,799,341159
Arnax,56,53,89,303789,551.584188235294,534,220512
Arp,76,78,142,263746,406.23410476190475,865,236635
Array,146,91,222,991508,755.3513297297297,1352,517839
Arrietty,69,71,135,360580,594.8833050000001,522,249007
Artanis,26,51,96,151583,473.17179999999996,394,112224
Artemis,355,180,439,1736463,633.1450292682927,2963,1178911
Artoria,38,42,53,267179,642.9659357142857,339,153341
Arutnev,15,8,19,62902,753.9356666666666,80,32277
ArutnevJr,9,19,20,63487,741.9242666666665,68,30565
Arven,6,9,5,50268,758.8571999999999,94,25630
Ascend,445,234,460,1800656,794.4294136986301,1739,1025021
Asilah,72,118,168,601256,623.48531875,728,352241
Aspect,15,14,21,43380,622.55095,80,26856
Assum,330,253,529,1765658,675.3184512820513,2888,1105415
Astrai,15,57,174,99276,211.43054285714285,1551,122126
Astrasmaug,21,25,29,137782,799.2066666666666,89,66187
Asza,162,99,172,853144,930.6978038461538,809,394671
Atat,8,34,118,69455,240.40783333333334,864,76573
Autophil,17,23,42,65753,582.7212666666667,101,42940
Avarice,282,129,437,1614798,803.3688050847458,1493,870947
Avra,179,105,200,833728,1013.2133461538461,778,384705
AwerpiS,48,124,405,265634,215.94898684210526,3226,300677
Axelent,525,176,577,2081167,781.1565542168674,2387,1245075
Axo,117,145,124,645279,656.4829966666667,752,404977
Ayel,86,72,145,435884,725.8073684210526,594,236623
Aymen,18,67,193,103108,208.77025625,1623,127820
Aytekn,220,194,355,1365691,679.9977403225807,1580,775639
Ayu,253,115,351,1286413,641.4888606557378,2012,872518
Azhi,186,169,366,1406148,604.8359816901409,2521,888725
Azu,60,41,74,189324,553.7132727272727,556,123214
Azuka,31,30,42,153254,788.0576666666666,170,81441
Azura,5,12,10,50597,728.4266,38,22615
B Butcher,84,342,882,494197,197.79301375,8653,641762
BANKAI,28,19,43,164734,707.9724142857143,205,86544
BAO,266,108,330,1222043,777.9923695652174,1743,689468
BByoan,10,23,12,47891,420.83425,162,38636
BCE Blesia,17,12,13,102806,856.2404,81,50046
BCT R0se,8,9,6,42958,814.4497,31,24270
BE5 Coli,3,15,31,15829,184.08043333333333,218,21119
BE5 Straka,10,9,22,71014,827.1424000000001,73,34605
BE5 bakisa,11,9,19,56652,653.6310333333333,75,35444
BEAN,503,166,564,2027719,784.74334,1966,1193023
BER Berimbau,4,8,7,24592,469.0937,43,15370
BER Besnaga,1,4,3,11098,567.1891,6,5689
BER Cerelac,2,11,6,19661,406.36885,51,13292
BER Lunatik,3,12,8,17929,420.52615,53,12231
BER Outskale,4,4,1,19408,685.3914,13,10037
BFX Bangin,3,13,7,31549,583.8265,24,16119
BFX Lost,11,12,11,37429,692.377,53,21757
BFX Rang,8,11,16,21599,397.46500000000003,73,19561
BFX Should,3,10,17,11646,217.6159,166,13950
BKD Eria,43,36,76,273272,828.0637800000001,344,118535
BKD Meii,37,47,78,123475,374.86381,483,107790
BKD anakin,10,45,123,98403,309.30486,768,76753
BKD razu,6,7,8,45162,1247.5691,30,13928
BKD yokiha,18,43,48,143772,441.64174999999994,295,107995
BL Frechdachs,2,12,14,8764,159.92455,163,12646
BL Niko Reaper,4,9,5,40161,712.08755,31,19567
BL Vinni Wonka,2,14,7,39856,720.2347,24,17470
BLS 1KK1,11,59,45,97947,344.79329,241,87164
BLS Fantasyleaf,16,48,25,181811,636.89576,221,102484
BLS TaiTa,34,32,21,168694,593.06522,218,104726
BLS shironeco,18,57,21,141181,505.86952,245,88427
BOO Blender,113,90,168,407166,711.1454473684211,433,226023
BOO Eve,7,8,22,47112,654.11555,60,25494
BOO FuraFura,58,65,124,337912,589.7238842105263,353,216875
BOO Razer,83,63,129,373037,763.9150875,419,203602
BOO Snow Panda,27,101,224,164360,294.65781578947366,1556,149634
BOO rururu,41,26,69,159097,562.11573,207,107349
BRT Speedy2,2,26,16,22774,238.2044,231,21549
BVL Fake1,14,85,147,99317,196.9843411764706,1534,118906
BVL Fantasyleaf,32,49,61,221043,636.7814454545455,295,123953
BVL Fubuki,193,153,261,590709,476.22893902439023,1563,462911
BVL GOODTRY,14,46,125,74459,214.08059090909092,1076,89964
BVL MayR,163,140,256,904866,720.5530463414634,984,497198
BVL Snow Panda,11,63,150,89537,238.29347692307692,1112,97438
BVL udon,70,126,146,448280,503.1839033333334,854,328060
BVL uwaa,53,42,57,223914,637.8525454545454,251,139079
BVL uwaaaa,67,116,173,422578,475.5584766666667,839,313969
Baashh,95,133,256,488598,413.5243,1265,398638
Babuleh,36,42,46,227051,549.0096615384616,301,140759
Baca,127,87,196,664593,697.5011103448277,1144,383005
Backlund,112,126,159,817653,623.9829128205129,924,488073
Bada,189,179,273,1059641,679.4901306122449,1097,603949
Badlulu,234,192,362,1351973,651.1606734375,1901,846127
Baiye,90,65,110,509016,675.8396347826088,731,311188
Baki,47,42,78,259745,650.756475,282,157329
Bala,39,40,80,271365,694.5455333333333,379,146881
Balyy,67,43,128,293903,607.73212,639,185930
Bambi,27,35,62,224645,704.34191,282,127140
Bananiasty,4,9,13,28825,450.02625,55,19930
Bananitoo,36,109,379,189838,195.8933103448276,3109,254867
Banderas,36,60,74,273193,603.9346142857142,378,177749
Bandit,73,46,121,263883,493.8306294117647,504,195596
Bangin,35,67,74,261226,602.6632714285714,257,148233
Banino,12,58,134,94445,209.30441428571427,1354,112577
Bardito,10,53,158,116697,200.51691764705882,1994,137368
Barrage,62,97,105,442627,606.4532,598,273296
Barry,15,39,100,80068,232.46720000000002,1032,89150
BartonaR,89,121,205,469584,517.2297931034483,739,310718
Basei,0,7,6,36154,573.97285,29,22139
Basraket,218,136,230,890355,803.4609705882353,929,505553
Batuuu,86,233,856,511500,238.36741029411763,7329,564101
Baul,71,92,237,331118,434.0753208333333,1798,240709
Baula,4,20,99,48972,194.430875,854,64922
Baumeef,253,233,562,1019537,572.5450596491228,1833,675163
Baus,260,444,474,1799987,694.9147195121951,1820,1109308
Baut,9,66,269,158520,210.30335000000002,2722,181869
Bayonetta,12,4,7,42874,768.54735,40,26544
Bazz,76,55,93,556181,616.6485115384615,996,353428
Bcan,197,129,308,1015421,709.1836847826087,1075,572423
Bdd,352,203,540,1916831,663.3747955555556,3194,1194057
Be,21,15,63,121441,508.6277875,231,86879
Beenie,91,84,152,536128,635.003156,956,338500
Beichuan,283,368,964,1659939,466.80940087719296,4732,1303075
Bejjaniii,0,12,3,20475,350.9971,31,16172
Beluga,37,20,61,184547,739.4675285714285,205,109528
Benaset,5,73,88,79539,188.07185714285714,1265,95777
Benda,18,14,34,137817,740.7519666666667,141,72356
Benny,40,13,52,87364,457.09058571428574,162,83189
Berik,16,14,16,95196,729.312525,76,52386
Berr,37,286,630,373499,181.41044677419356,7577,498752
Berserker,245,174,349,1671980,632.7846128205128,2806,1077700
BeryL,70,346,900,668407,216.6162244680851,10519,760328
BetaTwinz,4,13,23,19056,200.15526666666665,303,23379
Betty,303,141,374,1644155,707.2862295774648,2814,1016878
Beyond,27,75,60,184852,444.9234133333333,217,124454
