playername,wardsplaced,wardskilled,controlwardsbought,visionscore,games_played,ward_placement_rate,ward_kill_rate,controlward_rate,visionscore_rate
 BLWeaksideWizar,20,2,7,37,2,10.0,1.0,3.5,18.5
0909,29,13,9,64,3,9.666666666666666,4.333333333333333,3.0,21.333333333333332
0ri,124,172,58,814,29,4.275862068965517,5.931034482758621,2.0,28.06896551724138
1116,810,396,335,2069,74,10.945945945945946,5.351351351351352,4.527027027027027,27.95945945945946
113,463,525,399,2245,51,9.07843137254902,10.294117647058824,7.823529411764706,44.01960784313726
13,469,332,99,1234,43,10.906976744186046,7.72093023255814,2.302325581395349,28.697674418604652
1Jiang,882,354,514,2219,62,14.225806451612904,5.709677419354839,8.290322580645162,35.79032258064516
1Zeus,6,3,7,26,1,6.0,3.0,7.0,26.0
1xn,1057,1061,283,3395,94,11.24468085106383,11.287234042553191,3.0106382978723403,36.11702127659574
2274,3369,605,1071,5720,52,64.78846153846153,11.634615384615385,20.596153846153847,110.0
2Guns,89,108,25,345,10,8.9,10.8,2.5,34.5
369,1600,685,601,3982,128,12.5,5.3515625,4.6953125,31.109375
3XA,1267,992,377,3649,86,14.732558139534884,11.534883720930232,4.383720930232558,42.43023255813954
452apm,460,241,82,1154,52,8.846153846153847,4.634615384615385,1.5769230769230769,22.192307692307693
5M Crop,29,3,7,48,2,14.5,1.5,3.5,24.0
5M Profirio,72,16,9,161,2,36.0,8.0,4.5,80.5
5M Ratao,24,7,4,43,2,12.0,3.5,2.0,21.5
5M Theop,10,10,4,44,2,5.0,5.0,2.0,22.0
5t5,52,70,52,281,5,10.4,14.0,10.4,56.2
665,798,712,622,3357,85,9.388235294117647,8.376470588235295,7.317647058823529,39.49411764705882
6ax,245,139,136,678,24,10.208333333333334,5.791666666666667,5.666666666666667,28.25
6onza,30,16,15,75,2,15.0,8.0,7.5,37.5
7D 6onza,51,33,37,128,3,17.0,11.0,12.333333333333334,42.666666666666664
7D AlluK,21,13,18,80,2,10.5,6.5,9.0,40.0
7D Max,191,28,49,314,3,63.666666666666664,9.333333333333334,16.333333333333332,104.66666666666667
89,211,186,205,834,26,8.115384615384615,7.153846153846154,7.884615384615385,32.07692307692308
9eetoo,95,13,35,188,7,13.571428571428571,1.8571428571428572,5.0,26.857142857142858
A1MA Gimko,11,10,11,59,2,5.5,5.0,5.5,29.5
A1MA Pucki,25,11,4,57,2,12.5,5.5,2.0,28.5
A1MATrailblazer,76,11,7,169,2,38.0,5.5,3.5,84.5
AAXL Mario,4,5,2,21,1,4.0,5.0,2.0,21.0
AAXL Shack,7,2,2,14,1,7.0,2.0,2.0,14.0
