teamname,has_soul,soul_type,elder_spawned,elders,result,total_elemental_drakes,games
100 Thieves,8,infernals,3,4.0,20,91.0,40
3BL Esports,1,hextechs,1,1.0,1,17.0,7
5M Esports,1,oceans,0,0.0,1,5.0,2
A One Man Army,11,infernals,4,4.0,19,93.0,44
A One Man Army Prime,0,infernals,0,0.0,0,0.0,2
A One Man Army Prime Academy,0,mountains,0,0.0,0,3.0,2
AKA HERO,0,chemtechs,0,0.0,1,5.0,3
AVE Axolotl,9,oceans,2,2.0,27,112.0,53
Actions Per Minute,5,mountains,3,3.0,14,80.0,45
All for One Gaming,0,chemtechs,0,0.0,0,0.0,2
Alpha7 Esports,1,infernals,1,1.0,5,14.0,9
Andromeda Gaming,3,oceans,0,0.0,6,24.0,12
Ankora Gaming,1,infernals,0,0.0,1,9.0,5
Anubis Gaming,8,hextechs,2,2.0,33,125.0,67
Anyone's Legend,3,infernals,1,1.0,93,61.0,144
Anyone's Legend.Young,2,infernals,0,0.0,5,17.0,11
Apex Mission Impossible,4,mountains,1,1.0,5,47.0,26
Apex Predator,0,infernals,0,0.0,5,14.0,5
Aurora,4,clouds,3,3.0,7,62.0,40
Austrian Force willhaben,13,clouds,4,5.0,27,140.0,64
BAAM Esports,15,mountains,5,6.0,32,163.0,77
BBL Dark Passage,10,chemtechs,3,3.0,20,105.0,46
BERZLOY,1,chemtechs,0,0.0,3,12.0,4
BK ROG Esports,24,hextechs,9,10.0,46,191.0,77
BNK FEARX,12,infernals,0,0.0,32,170.0,78
BNK FEARX Academy,3,mountains,0,0.0,20,80.0,51
BNK FEARX Youth,20,infernals,4,5.0,56,223.0,104
BRUTE,6,hextechs,0,0.0,9,70.0,38
BWE Esports,0,hextechs,0,0.0,1,7.0,3
Back2TheGame,22,mountains,5,5.0,34,165.0,61
Bamboo Juice,5,oceans,1,1.0,9,43.0,18
Barcząca Esports,2,oceans,0,0.0,3,17.0,6
Barça eSports,26,mountains,3,3.0,54,235.0,100
BeFive,8,infernals,1,1.0,20,75.0,47
Berimbados,0,chemtechs,0,0.0,0,2.0,2
Berlin International Gaming,14,mountains,1,1.0,61,204.0,85
Beşiktaş Esports,9,infernals,4,4.0,18,89.0,43
Bilibili Gaming,8,infernals,1,1.0,90,62.0,141
Bilibili Gaming Junior,0,hextechs,0,0.0,2,12.0,7
