teamname,game_time_mean,game_time_std,game_time_min,game_time_max
100 Thieves,2034.9,297.57238292039654,1653,2898
3BL Esports,1772.2857142857142,221.3644914958993,1418,2071
5M Esports,1937.0,684.479364188578,1453,2421
A One Man Army,1932.5227272727273,286.78705240116255,1430,2849
A One Man Army Prime,1284.5,62.932503525602726,1240,1329
A One Man Army Prime Academy,1809.0,31.11269837220809,1787,1831
AKA HERO,2066.3333333333335,128.49254193661713,1980,2214
AVE Axolotl,1896.9811320754718,351.6762327966995,1351,2747
Actions Per Minute,1872.9333333333334,262.738238210927,1412,2411
All for One Gaming,1536.0,313.9554108468271,1314,1758
Alpha7 Esports,2013.6666666666667,397.27509360643285,1567,2583
Andromeda Gaming,1796.0833333333333,301.6248296788378,1237,2340
Ankora Gaming,1923.0,508.75681813613073,1527,2765
Anubis Gaming,1935.4925373134329,338.5998072783254,1239,2853
Anyone's Legend,1961.3472222222222,332.2771258811511,1435,3056
Anyone's Legend.Young,1711.8181818181818,249.77542640612916,1425,2372
Apex Mission Impossible,2016.4615384615386,381.62937316398813,1601,3206
Apex Predator,1876.4,245.47362383767427,1593,2211
Aurora,1862.225,334.58864813609324,1201,2700
Austrian Force willhaben,1917.96875,358.5066897939062,1347,3032
BAAM Esports,1944.7012987012988,343.25957129811377,1356,2935
BBL Dark Passage,2080.6739130434785,325.9603284892079,1602,2989
BERZLOY,1947.0,225.98377522881296,1689,2146
BK ROG Esports,2099.3376623376626,382.4398683518623,1354,3621
BNK FEARX,1879.051282051282,245.69572024434396,1474,2656
BNK FEARX Academy,1759.0196078431372,259.2437069782854,1220,2380
BNK FEARX Youth,1890.4903846153845,266.17491858792323,1424,3293
BRUTE,1874.3684210526317,442.3409117627048,1200,2975
BWE Esports,2044.6666666666667,542.3811697813018,1526,2608
Back2TheGame,1978.7540983606557,338.2369315404861,1428,3101
Bamboo Juice,1759.888888888889,306.10492028424216,1314,2577
Barcząca Esports,1998.5,354.4933003598235,1656,2652
Barça eSports,1926.61,342.6612985960854,1307,2789
BeFive,1761.4468085106382,314.6153488966043,1308,3012
Berimbados,1436.5,371.23106012293744,1174,1699
Berlin International Gaming,1816.764705882353,259.1062774716392,1314,2625
Beşiktaş Esports,2044.3720930232557,356.17284616533425,1540,3138
