teamname,objective_score,result
100 Thieves,18.25,20
3BL Esports,13.428571428571429,1
5M Esports,14.5,1
A One Man Army,16.011363636363637,19
A One Man Army Prime,0.75,0
A One Man Army Prime Academy,11.0,0
AKA HERO,20.833333333333332,1
AVE Axolotl,16.39622641509434,27
Actions Per Minute,13.755555555555556,14
All for One Gaming,3.0,0
Alpha7 Esports,16.666666666666668,5
Andromeda Gaming,15.75,6
Ankora Gaming,11.9,1
Anubis Gaming,15.865671641791044,33
Anyone's Legend,16.661290322580644,93
Anyone's Legend.Young,13.181818181818182,5
Apex Mission Impossible,12.461538461538462,5
Apex Predator,22.6,5
Aurora,11.2375,7
Austrian Force willhaben,16.921875,27
BAAM Esports,17.07792207792208,32
BBL Dark Passage,16.41304347826087,20
BERZLOY,20.75,3
BK ROG Esports,20.5974025974026,46
BNK FEARX,15.48076923076923,32
BNK FEARX Academy,14.676470588235293,20
BNK FEARX Youth,16.942307692307693,56
BRUTE,12.052631578947368,9
BWE Esports,20.333333333333332,1
Back2TheGame,18.83606557377049,34
Bamboo Juice,16.63888888888889,9
Barcząca Esports,17.583333333333332,3
Barça eSports,18.015,54
BeFive,13.946808510638299,20
Berimbados,3.25,0
Berlin International Gaming,20.976470588235294,61
Beşiktaş Esports,15.895348837209303,18
Bilibili Gaming,18.479166666666668,90
Bilibili Gaming Junior,12.214285714285714,2
Black Dog,12.25,2
Black Lion,5.5,0
BloomStorm,5.85,0
Blue Otter,15.666666666666666,14
BoostGate Esports,19.335714285714285,41
BraVeLY,12.547619047619047,12
Broke,4.75,0
Bulldog Esports,15.445652173913043,21
Burning Core Toyama,15.10377358490566,28
Bushido Wildcats,17.07777777777778,23
CCG Esports,17.013513513513512,17
CGN Esports,20.325,24
CITA Kaizen,18.291666666666668,14
CORE 128,12.857142857142858,2
CTBC Flying Oyster,20.44736842105263,65
CTBC Flying Oyster Academy,15.576923076923077,22
Caldya Esport,24.6875,6
Chiefs Esports Club,9.666666666666666,8
Citadel Gaming,18.71875,10
Clocks,17.25,27
Cloud9,20.813725490196077,35
Colossal Gaming,20.735294117647058,23
Connect Arena Esports,4.125,0
Contrata Logo Meu Time,16.571428571428573,7
Conviction,20.366666666666667,28
Corinthians Esports,17.630434782608695,21
Crusaders,15.8125,4
Crvena zvezda Esports,20.169117647058822,45
Cupid Esports,8.0,0
DCT eSports,18.4,4
DKB XPERION NXT,18.0,3
DMG Esports,13.9625,15
DN Freecs,11.679487179487179,18
DN Freecs Academy,18.0703125,32
DN Freecs Challengers,17.34269662921348,48
DOCISK,14.596153846153847,8
DRX,14.55813953488372,33
DRX Academy,5.99,4
DRX Challengers,19.033333333333335,54
Dark Roses,13.0,2
DarkZero Dragonsteel,18.644444444444446,29
Deep Cross Gaming,19.74705882352941,63
Delta Syndicate,16.22093023255814,14
Deltan Gaming,18.77027027027027,24
DetonatioN FocusMe,11.8125,9
DetonatioN FocusMe Academy,13.568181818181818,23
Dignitas,12.957142857142857,9
Disguised,11.232142857142858,5
Diver (Portuguese Team),26.25,2
Divernex,15.947368421052632,18
Diversion Gaming,19.67543859649123,37
Dopamina E-Sport,17.484848484848484,19
Dorado Gaming,17.294117647058822,10
Dplus KIA,17.069148936170212,51
Dplus KIA Challengers,13.39655172413793,31
Dplus KIA Youth,16.370967741935484,31
Dragons Esports,19.013157894736842,20
Dream Makers,15.1875,6
Dream in 24,19.8875,29
Dung Dynasty,21.21153846153846,15
Dynamo Eclot,16.62857142857143,14
Dynamo Eclot Talents,13.982758620689655,11
E WIE EINFACH E-SPORTS,16.224358974358974,38
EDG Youth Team,17.227272727272727,5
EDward Gaming,,27
EKO Esports,13.77027027027027,10
EXILE esports,11.742857142857142,8
Eintracht Frankfurt,17.641509433962263,23
Eintracht Spandau,15.488636363636363,14
Entropiq,18.69402985074627,39
Esprit Shōnen,22.245283018867923,36
Estral Esports,25.5,7
Eternal Fire,18.52777777777778,19
Ethereal Enigmas,16.69607843137255,21
Evolve eSports,4.75,0
FN Esports,20.02777777777778,11
FURIA,18.204918032786885,35
FUSION (Latin American Team),19.444444444444443,6
Falke Esports,20.325581395348838,26
Fantastic Esports,18.333333333333332,3
Farenvehn,20.94047619047619,28
FlameHard,22.31578947368421,28
Flamengo MDL,18.28205128205128,18
Fluxo W7M,10.481481481481481,4
FlyQuest,20.638461538461538,46
Fnatic,20.15625,42
Fog Esports,15.862068965517242,25
Footprint Gaming,10.166666666666666,1
For The Win Esports,17.153846153846153,12
Forsaken,19.05,33
Fox Gaming,16.62727272727273,24
Fractious eSports,14.958333333333334,3
Frank Esports,17.987951807228917,52
Fuego,20.4,26
Fukuoka SoftBank HAWKS gaming,12.206521739130435,14
FunPlus Phoenix,,34
