teamname,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
100 Thieves,16031.75,18880.425,336.025,15920.8,18981.65,334.925,110.95,-101.225,1.1,2.15,3.525,1.85,1.85,3.25,2.175,24646.4,29754.6,528.775,24634.2,29976.5,529.7,12.2,-221.9,-0.925,3.65,6.825,3.425,3.425,6.325,3.675,34162.85,41619.875,705.1,34098.15,41886.8,704.475,64.7,-266.925,0.625,5.925,12.275,5.675,5.675,11.875,5.95,42989.75,53132.575,859.175,43587.55,53828.6,858.4,-597.8,-696.025,0.775,8.375,18.45,9.05,9.05,20.45,8.4
3BL Esports,15832.714285714286,18384.285714285714,308.0,16341.857142857143,19363.428571428572,330.42857142857144,-509.14285714285717,-979.1428571428571,-22.428571428571427,3.0,4.285714285714286,3.0,3.0,3.4285714285714284,3.0,24478.714285714286,29578.714285714286,486.14285714285717,25433.571428571428,30906.285714285714,514.0,-954.8571428571429,-1327.5714285714287,-27.857142857142858,5.428571428571429,8.285714285714286,5.428571428571429,5.285714285714286,7.0,5.428571428571429,34043.0,41039.42857142857,643.2857142857143,36197.42857142857,43732.57142857143,686.8571428571429,-2154.4285714285716,-2693.1428571428573,-43.57142857142857,8.428571428571429,15.0,9.428571428571429,9.285714285714286,15.857142857142858,8.428571428571429,43566.333333333336,52723.166666666664,783.8333333333334,45706.833333333336,57139.0,831.8333333333334,-2140.5,-4415.833333333333,-48.0,12.166666666666666,23.833333333333332,13.333333333333334,13.166666666666666,25.5,12.166666666666666
5M Esports,14902.0,18873.0,297.5,16523.5,19507.0,340.5,-1621.5,-634.0,-43.0,1.5,2.0,3.5,3.5,4.5,1.5,22903.0,29614.5,470.0,27480.0,32860.0,543.5,-4577.0,-3245.5,-73.5,2.5,3.0,8.5,8.5,9.5,2.5,32014.0,43455.0,638.0,37224.0,45768.0,707.0,-5210.0,-2313.0,-69.0,5.5,10.5,13.5,13.5,18.5,5.5,39538.0,52382.0,741.5,47469.0,57267.0,822.0,-7931.0,-4885.0,-80.5,7.5,12.5,19.5,19.5,33.5,7.5
A One Man Army,15838.068181818182,19148.727272727272,332.9318181818182,16003.75,19104.090909090908,324.02272727272725,-165.6818181818182,44.63636363636363,8.909090909090908,1.8181818181818181,2.3636363636363638,2.6363636363636362,2.6363636363636362,3.4318181818181817,1.8181818181818181,24916.295454545456,30363.545454545456,517.4772727272727,25053.272727272728,30230.022727272728,503.84090909090907,-136.97727272727272,133.52272727272728,13.636363636363637,4.2272727272727275,6.659090909090909,5.340909090909091,5.340909090909091,8.045454545454545,4.2272727272727275,34323.545454545456,42775.931818181816,692.6590909090909,34597.88636363636,42899.52272727273,676.8863636363636,-274.34090909090907,-123.5909090909091,15.772727272727273,6.568181818181818,11.886363636363637,8.022727272727273,8.0,14.068181818181818,6.568181818181818,43353.604651162794,54445.27906976744,853.5348837209302,44141.67441860465,55596.767441860466,834.953488372093,-788.0697674418604,-1151.4883720930231,18.58139534883721,8.488372093023257,17.0,11.186046511627907,11.162790697674419,21.930232558139537,8.488372093023257
A One Man Army Prime,14439.0,17512.5,296.0,17296.0,19245.0,326.5,-2857.0,-1732.5,-30.5,0.5,0.5,5.0,5.0,6.0,0.5,22424.0,27592.5,454.0,29939.5,31933.0,502.5,-7515.5,-4340.5,-48.5,2.5,3.5,11.5,11.5,13.5,2.5,30884.5,38462.0,586.0,42886.0,46413.0,659.0,-12001.5,-7951.0,-73.0,4.5,9.5,20.5,20.0,29.5,4.5,,,,,,,,,,,,,,,
A One Man Army Prime Academy,15234.0,18025.5,290.5,16119.5,18598.0,306.0,-885.5,-572.5,-15.5,2.5,4.0,3.5,3.5,7.5,3.0,24987.0,29224.5,458.5,26751.0,30664.0,474.5,-1764.0,-1439.5,-16.0,6.0,12.0,9.5,9.5,17.0,6.5,32461.0,40945.5,604.0,37555.5,44051.0,633.0,-5094.5,-3105.5,-29.0,7.5,14.5,15.0,15.0,29.5,8.0,45080.0,55439.0,761.5,46651.5,58075.5,766.5,-1571.5,-2636.5,-5.0,14.5,31.5,19.0,19.0,35.5,15.0
AKA HERO,17116.333333333332,19414.666666666668,327.6666666666667,15854.0,18487.666666666668,306.6666666666667,1262.3333333333333,927.0,21.0,4.666666666666667,5.0,3.0,3.0,4.666666666666667,4.666666666666667,27241.0,30847.333333333332,497.3333333333333,24968.333333333332,29652.666666666668,465.0,2272.6666666666665,1194.6666666666667,32.333333333333336,8.0,8.666666666666666,7.0,7.0,10.666666666666666,8.0,36868.333333333336,43265.333333333336,673.6666666666666,34754.666666666664,43712.0,648.3333333333334,2113.6666666666665,-446.6666666666667,25.333333333333332,10.333333333333334,12.333333333333334,10.333333333333334,10.333333333333334,16.333333333333332,10.333333333333334,45775.333333333336,58392.0,823.3333333333334,44488.0,56457.333333333336,801.6666666666666,1287.3333333333333,1934.6666666666667,21.666666666666668,13.666666666666666,19.0,14.333333333333334,14.333333333333334,25.333333333333332,13.666666666666666
AVE Axolotl,15892.981132075472,18906.528301886792,326.2830188679245,15681.396226415094,18540.962264150945,320.4339622641509,211.58490566037736,365.5660377358491,5.849056603773585,2.207547169811321,2.9622641509433962,2.2452830188679247,2.2264150943396226,3.641509433962264,2.207547169811321,24979.811320754718,30159.867924528302,512.8867924528302,24409.471698113208,29562.716981132075,503.54716981132077,570.3396226415094,597.1509433962265,9.339622641509434,4.660377358490566,7.849056603773585,4.415094339622642,4.377358490566038,8.018867924528301,4.660377358490566,34558.28301886792,42514.28301886792,684.4716981132076,33943.64150943396,41601.28301886792,673.7169811320755,614.6415094339623,913.0,10.754716981132075,7.320754716981132,14.528301886792454,6.886792452830188,6.811320754716981,14.09433962264151,7.339622641509434,43607.61224489796,53962.57142857143,830.8163265306123,43485.30612244898,53867.61224489796,822.3877551020408,122.3061224489796,94.95918367346938,8.428571428571429,10.408163265306122,23.122448979591837,10.448979591836734,10.387755102040817,23.26530612244898,10.428571428571429
Actions Per Minute,15744.066666666668,18715.666666666668,324.5777777777778,16277.288888888888,18938.68888888889,329.77777777777777,-533.2222222222222,-223.0222222222222,-5.2,2.022222222222222,3.3777777777777778,2.888888888888889,2.888888888888889,4.933333333333334,2.0444444444444443,24472.755555555555,29372.911111111112,500.5111111111111,25580.88888888889,29927.31111111111,511.75555555555553,-1108.1333333333334,-554.4,-11.244444444444444,4.333333333333333,8.2,5.666666666666667,5.666666666666667,10.28888888888889,4.355555555555555,34096.26666666667,41603.84444444445,667.4666666666667,35339.822222222225,42371.64444444444,677.3555555555556,-1243.5555555555557,-767.8,-9.88888888888889,7.377777777777778,15.488888888888889,8.911111111111111,8.911111111111111,16.955555555555556,7.4222222222222225,43484.704545454544,53417.63636363636,813.4545454545455,44899.27272727273,54756.13636363636,826.9772727272727,-1414.5681818181818,-1338.5,-13.522727272727273,10.477272727272727,23.25,12.5,12.5,25.90909090909091,10.522727272727273
All for One Gaming,17583.5,18635.5,316.0,18047.5,19394.5,300.0,-464.0,-759.0,16.0,6.0,8.5,8.0,7.5,10.5,6.0,25279.0,28857.5,482.0,29521.0,33353.5,496.5,-4242.0,-4496.0,-14.5,7.5,10.5,15.5,15.0,19.5,7.5,35003.0,40741.0,635.0,42349.5,50886.0,686.0,-7346.5,-10145.0,-51.0,10.0,15.5,26.5,26.0,38.0,10.0,43544.0,52136.0,804.0,51692.0,66462.0,806.0,-8148.0,-14326.0,-2.0,11.0,21.0,33.0,32.0,54.0,11.0
