teamname,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,plate_diff
100 Thieves,0.5,0.575,3.55,3.8,-0.25
3BL Esports,0.42857142857142855,0.14285714285714285,4.0,5.857142857142857,-1.8571428571428568
5M Esports,0.0,0.0,3.0,6.5,-3.5
A One Man Army,0.5454545454545454,0.5,3.7954545454545454,3.659090909090909,0.13636363636363624
A One Man Army Prime,0.0,0.0,1.5,12.0,-10.5
A One Man Army Prime Academy,0.5,0.0,4.5,5.5,-1.0
AKA HERO,0.6666666666666666,1.0,9.666666666666666,2.3333333333333335,7.333333333333332
AVE Axolotl,0.49056603773584906,0.4716981132075472,4.09433962264151,3.509433962264151,0.5849056603773586
Actions Per Minute,0.4222222222222222,0.35555555555555557,2.911111111111111,4.8,-1.8888888888888888
All for One Gaming,0.0,0.0,4.5,7.0,-2.5
Alpha7 Esports,0.5555555555555556,0.5555555555555556,2.4444444444444446,2.888888888888889,-0.4444444444444442
Andromeda Gaming,0.5,0.5833333333333334,4.25,3.75,0.5
Ankora Gaming,0.4,0.4,4.2,6.0,-1.7999999999999998
Anubis Gaming,0.4626865671641791,0.5074626865671642,4.462686567164179,4.567164179104478,-0.10447761194029859
Anyone's Legend,0.6129032258064516,0.5483870967741935,2.161290322580645,2.967741935483871,-0.806451612903226
Anyone's Legend.Young,0.5454545454545454,0.45454545454545453,3.6363636363636362,4.454545454545454,-0.8181818181818179
Apex Mission Impossible,0.34615384615384615,0.2692307692307692,2.769230769230769,4.884615384615385,-2.115384615384616
Apex Predator,0.6,0.8,5.4,2.8,2.6000000000000005
Aurora,0.275,0.3,4.075,4.95,-0.875
Austrian Force willhaben,0.546875,0.46875,4.8125,4.40625,0.40625
BAAM Esports,0.4935064935064935,0.5194805194805194,4.974025974025974,4.285714285714286,0.6883116883116882
BBL Dark Passage,0.34782608695652173,0.41304347826086957,2.6739130434782608,3.5434782608695654,-0.8695652173913047
BERZLOY,0.25,0.25,4.75,4.75,0.0
BK ROG Esports,0.5974025974025974,0.6233766233766234,3.883116883116883,2.8701298701298703,1.0129870129870127
BNK FEARX,0.4358974358974359,0.44871794871794873,3.6923076923076925,3.91025641025641,-0.21794871794871762
BNK FEARX Academy,0.5490196078431373,0.45098039215686275,5.392156862745098,5.529411764705882,-0.13725490196078383
BNK FEARX Youth,0.5096153846153846,0.5096153846153846,3.5865384615384617,3.7211538461538463,-0.13461538461538458
BRUTE,0.2894736842105263,0.3157894736842105,3.8947368421052633,5.421052631578948,-1.5263157894736845
BWE Esports,0.6666666666666666,0.6666666666666666,7.333333333333333,3.6666666666666665,3.6666666666666665
Back2TheGame,0.4098360655737705,0.4262295081967213,3.0655737704918034,4.229508196721311,-1.163934426229508
Bamboo Juice,0.2777777777777778,0.4444444444444444,3.9444444444444446,5.166666666666667,-1.2222222222222223
Barcząca Esports,0.3333333333333333,0.16666666666666666,1.8333333333333333,2.5,-0.6666666666666667
Barça eSports,0.32,0.45,3.78,4.96,-1.1800000000000002
BeFive,0.425531914893617,0.46808510638297873,3.8085106382978724,4.085106382978723,-0.2765957446808507
Berimbados,0.0,0.0,0.5,7.5,-7.0
Berlin International Gaming,0.788235294117647,0.7294117647058823,5.376470588235295,3.2823529411764705,2.094117647058824
