teamname,void_grubs_sum,void_grubs_avg,opp_void_grubs_sum,wins,games,voidgrubs_ratio,winrate
100 Thieves,81.0,2.025,105.0,20,40,0.43548387096774194,0.5
3BL Esports,6.0,0.8571428571428571,15.0,1,7,0.2857142857142857,0.14285714285714285
5M Esports,0.0,0.0,12.0,1,2,0.0,0.5
A One Man Army,102.0,2.3181818181818183,102.0,19,44,0.5,0.4318181818181818
A One Man Army Prime,0.0,0.0,12.0,0,2,0.0,0.0
A One Man Army Prime Academy,10.0,5.0,2.0,0,2,0.8333333333333334,0.0
AKA HERO,15.0,5.0,3.0,1,3,0.8333333333333334,0.3333333333333333
AVE Axolotl,134.0,2.5283018867924527,112.0,27,53,0.5447154471544715,0.5094339622641509
Actions Per Minute,81.0,1.8,135.0,14,45,0.375,0.3111111111111111
All for One Gaming,5.0,2.5,7.0,0,2,0.4166666666666667,0.0
Alpha7 Esports,13.0,1.4444444444444444,14.0,5,9,0.48148148148148145,0.5555555555555556
Andromeda Gaming,13.0,1.0833333333333333,23.0,6,12,0.3611111111111111,0.5
Ankora Gaming,12.0,2.4,18.0,1,5,0.4,0.2
Anubis Gaming,160.0,2.388059701492537,173.0,33,67,0.4804804804804805,0.4925373134328358
Anyone's Legend,331.0,2.298611111111111,266.0,93,144,0.5544388609715243,0.6458333333333334
Anyone's Legend.Young,16.0,1.4545454545454546,17.0,5,11,0.48484848484848486,0.45454545454545453
Apex Mission Impossible,55.0,2.1153846153846154,77.0,5,26,0.4166666666666667,0.19230769230769232
Apex Predator,6.0,1.2,9.0,5,5,0.4,1.0
Aurora,69.0,1.725,108.0,7,40,0.3898305084745763,0.175
Austrian Force willhaben,160.0,2.5,142.0,27,64,0.5298013245033113,0.421875
BAAM Esports,195.0,2.5324675324675323,153.0,32,77,0.5603448275862069,0.4155844155844156
BBL Dark Passage,93.0,2.0217391304347827,120.0,20,46,0.43661971830985913,0.43478260869565216
BERZLOY,2.0,0.5,10.0,3,4,0.16666666666666666,0.75
BK ROG Esports,158.0,2.051948051948052,144.0,46,77,0.5231788079470199,0.5974025974025974
BNK FEARX,193.0,2.4743589743589745,158.0,32,78,0.5498575498575499,0.41025641025641024
BNK FEARX Academy,179.0,3.5098039215686274,114.0,20,51,0.6109215017064846,0.39215686274509803
BNK FEARX Youth,226.0,2.173076923076923,251.0,56,104,0.47379454926624737,0.5384615384615384
BRUTE,88.0,2.3157894736842106,86.0,9,38,0.5057471264367817,0.23684210526315788
BWE Esports,14.0,4.666666666666667,4.0,1,3,0.7777777777777778,0.3333333333333333
Back2TheGame,158.0,2.5901639344262297,147.0,34,61,0.5180327868852459,0.5573770491803278
Bamboo Juice,25.0,1.3888888888888888,29.0,9,18,0.46296296296296297,0.5
Barcząca Esports,7.0,1.1666666666666667,11.0,3,6,0.3888888888888889,0.5
Barça eSports,193.0,1.93,251.0,54,100,0.4346846846846847,0.54
BeFive,77.0,1.6382978723404256,133.0,20,47,0.36666666666666664,0.425531914893617
Berimbados,0.0,0.0,12.0,0,2,0.0,0.0
Berlin International Gaming,213.0,2.5058823529411764,168.0,61,85,0.5590551181102362,0.7176470588235294
Beşiktaş Esports,109.0,2.5348837209302326,98.0,18,43,0.5265700483091788,0.4186046511627907
Bilibili Gaming,314.0,2.226950354609929,274.0,90,141,0.5340136054421769,0.6382978723404256
Bilibili Gaming Junior,8.0,1.1428571428571428,13.0,2,7,0.38095238095238093,0.2857142857142857
Black Dog,26.0,2.6,34.0,2,10,0.43333333333333335,0.2
Black Lion,0.0,0.0,12.0,0,2,0.0,0.0
BloomStorm,16.0,1.6,44.0,0,10,0.26666666666666666,0.0
Blue Otter,48.0,1.4545454545454546,102.0,14,33,0.32,0.42424242424242425
BoostGate Esports,181.0,2.585714285714286,125.0,41,70,0.5915032679738562,0.5857142857142857
BraVeLY,118.0,2.8095238095238093,98.0,12,42,0.5462962962962963,0.2857142857142857
Broke,7.0,3.5,5.0,0,2,0.5833333333333334,0.0
Bulldog Esports,122.0,2.652173913043478,112.0,21,46,0.5213675213675214,0.45652173913043476
Burning Core Toyama,108.0,2.0377358490566038,117.0,28,53,0.48,0.5283018867924528
Bushido Wildcats,96.0,2.1333333333333333,120.0,23,45,0.4444444444444444,0.5111111111111111
CCG Esports,93.0,2.5135135135135136,71.0,17,37,0.5670731707317073,0.4594594594594595
CGN Esports,59.0,1.475,85.0,24,40,0.4097222222222222,0.6
CITA Kaizen,59.0,2.4583333333333335,43.0,14,24,0.5784313725490197,0.5833333333333334
CORE 128,25.0,1.7857142857142858,50.0,2,14,0.3333333333333333,0.14285714285714285
CTBC Flying Oyster,210.0,2.210526315789474,210.0,65,95,0.5,0.6842105263157895
CTBC Flying Oyster Academy,136.0,2.6153846153846154,113.0,22,52,0.5461847389558233,0.4230769230769231
Caldya Esport,10.0,1.25,14.0,6,8,0.4166666666666667,0.75
Chiefs Esports Club,74.0,1.7619047619047619,112.0,8,42,0.3978494623655914,0.19047619047619047
Citadel Gaming,29.0,1.8125,19.0,10,16,0.6041666666666666,0.625
Clocks,121.0,2.5208333333333335,110.0,27,48,0.5238095238095238,0.5625
Cloud9,104.0,2.0392156862745097,109.0,35,51,0.48826291079812206,0.6862745098039216
